model,original_epochs,regularized_epochs,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
distilbert,5,5,0.18014549623574594,0.3288086346943703,0.8592,0.8593855142274275,0.8592,0.8591818274711626
distilbert,10,5,0.17943418522358245,0.31991059990013804,0.86288,0.8631209589344394,0.86288,0.862857248785573
