model,original_epochs,regularized_epochs,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
t5,5,5,0.03062614562142345,0.5712699993415866,0.70488,0.7055098320654218,0.70488,0.7046537108713643
t5,10,5,0.03760916716835993,0.5531113728156785,0.72208,0.7227947455059923,0.72208,0.7218569230218587
