model,original_epochs,regularized_epochs,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
bert,5,5,0.10181087719471864,0.33834146543899,0.85216,0.8531089398802654,0.85216,0.8520606074516983
bert,10,5,0.12043339692418227,0.3314341290918229,0.85772,0.8578422068351932,0.85772,0.8577078514378569
