model,lambda_reg,epoch,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
bert,0.01,1,0.35627261544942856,,,,,
bert,0.01,2,0.3542727504968643,,,,,
bert,0.01,3,0.35381088760733603,,,,,
bert,0.01,4,0.3476537180197239,,,,,
bert,0.01,5,0.34931971067905426,,,,,
bert,0.01,final_test,,0.30036712354090794,0.87328,0.8733397343574972,0.8732,0.873269861588927
bert,0.05,1,0.33406603526353834,,,,,
bert,0.05,2,0.33212541513323784,,,,,
bert,0.05,3,0.33180541047811507,,,,,
bert,0.05,4,0.32836662356972696,,,,,
bert,0.05,5,0.32916261975765226,,,,,
bert,0.05,final_test,,0.29486239992167923,0.87564,0.8593403229509451,0.89832,0.878397934837877
bert,0.1,1,0.31068032945394514,,,,,
bert,0.1,2,0.31390838767409324,,,,,
bert,0.1,3,0.31084405792593955,,,,,
bert,0.1,4,0.3097338519501686,,,,,
bert,0.1,5,0.3085157950901985,,,,,
bert,0.1,final_test,,0.2818024135871015,0.88168,0.8805839183152521,0.88312,0.8818501358044416
bert,0.25,1,0.2694144371807575,,,,,
bert,0.25,2,0.28117561178445816,,,,,
bert,0.25,3,0.26666112309098244,,,,,
bert,0.25,4,0.2808679363131523,,,,,
bert,0.25,5,0.26418273069381715,,,,,
bert,0.25,final_test,,0.276321288667767,0.88396,0.8772302130000786,0.89288,0.8849859255441461
bert,0.5,1,0.19038087221860886,,,,,
bert,0.5,2,0.21304526207447053,,,,,
bert,0.5,3,0.24100128584623337,,,,,
bert,0.5,4,0.22307961882710456,,,,,
bert,0.5,5,0.2588799035382271,,,,,
bert,0.5,final_test,,0.2895649998560214,0.87688,0.8543170878459687,0.90872,0.8806791750659017
albert,0.01,1,0.27021254334390166,,,,,
albert,0.01,2,0.26651975753307344,,,,,
albert,0.01,3,0.2659467833012342,,,,,
albert,0.01,4,0.2610559407758713,,,,,
albert,0.01,5,0.2590332071942091,,,,,
albert,0.01,final_test,,0.23449887485694443,0.90532,0.9155934705930604,0.89296,0.9041351099590944
albert,0.05,1,0.24619789842814208,,,,,
albert,0.05,2,0.2455983116811514,,,,,
albert,0.05,3,0.24542041800141334,,,,,
albert,0.05,4,0.23677758830547332,,,,,
albert,0.05,5,0.2515740881437063,,,,,
albert,0.05,final_test,,0.2236252207480614,0.911,0.9101796407185628,0.912,0.9110889110889111
albert,0.1,1,0.22462613744437696,,,,,
albert,0.1,2,0.23124642668783665,,,,,
albert,0.1,3,0.2288875292646885,,,,,
albert,0.1,4,0.22573713833749295,,,,,
albert,0.1,5,0.21874156074643136,,,,,
albert,0.1,final_test,,0.2146292982118887,0.91416,0.9101568689589605,0.91904,0.9145768648992915
albert,0.25,1,0.20485460169911385,,,,,
albert,0.25,2,0.24011354818940162,,,,,
albert,0.25,3,0.2657667541360855,,,,,
albert,0.25,4,0.1912886783313751,,,,,
albert,0.25,5,0.19702976254224777,,,,,
albert,0.25,final_test,,0.20542331921697612,0.91776,0.9160293180369662,0.91984,0.9179307041353982
albert,0.5,1,0.1470327251446247,,,,,
albert,0.5,2,0.3113618455791473,,,,,
albert,0.5,3,0.17964852417707444,,,,,
albert,0.5,4,0.30080828916430474,,,,,
albert,0.5,5,0.3060629803699255,,,,,
albert,0.5,final_test,,0.2196246761172028,0.9114,0.8899082568807339,0.93896,0.9137763244968663
