model,lambda_reg,regularized_epochs,epoch,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
modern_bert,1,5,1,0.753526591873169,,,,,
modern_bert,1,5,2,0.7182086753845215,,,,,
modern_bert,1,5,3,0.6886155716514587,,,,,
modern_bert,1,5,4,0.6911312087440491,,,,,
modern_bert,1,5,5,0.6946549106025696,,,,,
modern_bert,1,5,final_test,,0.6022096309079166,0.7924,0.8169991326973114,0.7536,0.784019975031211
modern_bert,1,10,1,0.6946291242218018,,,,,
modern_bert,1,10,2,0.694353017616272,,,,,
modern_bert,1,10,3,0.6954212538528443,,,,,
modern_bert,1,10,4,0.6942889280128479,,,,,
modern_bert,1,10,5,0.6949745419502258,,,,,
modern_bert,1,10,6,0.6940780564117431,,,,,
modern_bert,1,10,7,0.6938959447860717,,,,,
modern_bert,1,10,8,0.6938442574882507,,,,,
modern_bert,1,10,9,0.6935802942276001,,,,,
modern_bert,1,10,10,0.6934260276603699,,,,,
modern_bert,1,10,final_test,,0.6455618028296009,0.79556,0.7997565922920893,0.78856,0.7941188318227593
modern_bert,0.75,5,1,0.6741169363975524,,,,,
modern_bert,0.75,5,2,0.6641731398963928,,,,,
modern_bert,0.75,5,3,0.6557303464317322,,,,,
modern_bert,0.75,5,4,0.6518081491279603,,,,,
modern_bert,0.75,5,5,0.6499430979347229,,,,,
modern_bert,0.75,5,final_test,,0.4949508346927067,0.8014,0.8063257175380112,0.79336,0.7997903141255696
modern_bert,0.75,10,1,0.652202890586853,,,,,
modern_bert,0.75,10,2,0.6526813754081726,,,,,
modern_bert,0.75,10,3,0.650798860654831,,,,,
modern_bert,0.75,10,4,0.6468151172733307,,,,,
modern_bert,0.75,10,5,0.6445976608657837,,,,,
modern_bert,0.75,10,6,0.6448916331577301,,,,,
modern_bert,0.75,10,7,0.6427856692886352,,,,,
modern_bert,0.75,10,8,0.6429109107875824,,,,,
modern_bert,0.75,10,9,0.6416716805362701,,,,,
modern_bert,0.75,10,10,0.6419559723949433,,,,,
modern_bert,0.75,10,final_test,,0.4829371884055269,0.80932,0.813356025609855,0.80288,0.808084061355127
modern_bert,0.5,5,1,0.5916179925918579,,,,,
modern_bert,0.5,5,2,0.5864566917896271,,,,,
modern_bert,0.5,5,3,0.5806405309963226,,,,,
modern_bert,0.5,5,4,0.581949702501297,,,,,
modern_bert,0.5,5,5,0.5796394550228119,,,,,
modern_bert,0.5,5,final_test,,0.4349961258847593,0.81332,0.8149071319450029,0.8108,0.8128483779123391
modern_bert,0.5,10,1,0.5824852156352996,,,,,
modern_bert,0.5,10,2,0.5814509656906128,,,,,
modern_bert,0.5,10,3,0.5801648188018799,,,,,
modern_bert,0.5,10,4,0.5788741212272644,,,,,
modern_bert,0.5,10,5,0.5763017098808288,,,,,
modern_bert,0.5,10,6,0.5772517200660705,,,,,
modern_bert,0.5,10,7,0.5762581097984314,,,,,
modern_bert,0.5,10,8,0.5732327545452118,,,,,
modern_bert,0.5,10,9,0.5726278455162048,,,,,
modern_bert,0.5,10,10,0.5732973966503143,,,,,
modern_bert,0.5,10,final_test,,0.4262565691226656,0.81936,0.8237631792376318,0.81256,0.8181232380185259
modern_bert,0.25,5,1,0.5143408522701264,,,,,
modern_bert,0.25,5,2,0.5146007656764984,,,,,
modern_bert,0.25,5,3,0.5108083185100556,,,,,
modern_bert,0.25,5,4,0.5100496784496308,,,,,
modern_bert,0.25,5,5,0.5066307892656327,,,,,
modern_bert,0.25,5,final_test,,0.40487176066196584,0.82304,0.8269106217616581,0.81712,0.8219861580556896
modern_bert,0.25,10,1,0.5088077267551422,,,,,
modern_bert,0.25,10,2,0.513070671620369,,,,,
modern_bert,0.25,10,3,0.5132661975097657,,,,,
modern_bert,0.25,10,4,0.5097054653167724,,,,,
modern_bert,0.25,10,5,0.5057974505901337,,,,,
modern_bert,0.25,10,6,0.5043729058885574,,,,,
modern_bert,0.25,10,7,0.5022801721668243,,,,,
modern_bert,0.25,10,8,0.5039878589057922,,,,,
modern_bert,0.25,10,9,0.4995112937736511,,,,,
modern_bert,0.25,10,10,0.4990963193511963,,,,,
modern_bert,0.25,10,final_test,,0.39449607879066423,0.8298,0.835735809104976,0.82096,0.8282820129948747
modern_bert,0.1,5,1,0.4630158782339096,,,,,
modern_bert,0.1,5,2,0.46471294335365293,,,,,
modern_bert,0.1,5,3,0.46385202478408816,,,,,
modern_bert,0.1,5,4,0.45823638950824735,,,,,
modern_bert,0.1,5,5,0.4574989725780487,,,,,
modern_bert,0.1,5,final_test,,0.3856535459715475,0.83188,0.8377432223398192,0.8232,0.8304079409272486
modern_bert,0.1,10,1,0.4620011559391022,,,,,
modern_bert,0.1,10,2,0.4634488655233383,,,,,
modern_bert,0.1,10,3,0.4680858879518509,,,,,
modern_bert,0.1,10,4,0.46077882949352267,,,,,
modern_bert,0.1,10,5,0.4605310275030136,,,,,
modern_bert,0.1,10,6,0.457368842754364,,,,,
modern_bert,0.1,10,7,0.4552555253171921,,,,,
modern_bert,0.1,10,8,0.45578970508098604,,,,,
modern_bert,0.1,10,9,0.45330266708374023,,,,,
modern_bert,0.1,10,10,0.4534059631061554,,,,,
modern_bert,0.1,10,final_test,,0.37707936934178177,0.83644,0.8418827737582311,0.82848,0.8351276158219426
modern_bert,0.075,5,1,0.45541791706085205,,,,,
modern_bert,0.075,5,2,0.4555840502548218,,,,,
modern_bert,0.075,5,3,0.44895833731174467,,,,,
modern_bert,0.075,5,4,0.44548494680404666,,,,,
modern_bert,0.075,5,5,0.44239804147720335,,,,,
modern_bert,0.075,5,final_test,,0.3717210565694272,0.83744,0.8429825987965522,0.82936,0.8361158157915961
modern_bert,0.075,10,1,0.4493066654729843,,,,,
modern_bert,0.075,10,2,0.4534402373456955,,,,,
modern_bert,0.075,10,3,0.45071899810791016,,,,,
modern_bert,0.075,10,4,0.4496744048833847,,,,,
modern_bert,0.075,10,5,0.4550100400686264,,,,,
modern_bert,0.075,10,6,0.44480394290447234,,,,,
modern_bert,0.075,10,7,0.44528344840049744,,,,,
modern_bert,0.075,10,8,0.4442122940015793,,,,,
modern_bert,0.075,10,9,0.4401873625135422,,,,,
modern_bert,0.075,10,10,0.4439149222636223,,,,,
modern_bert,0.075,10,final_test,,0.3630603997272774,0.84408,0.8483155166828636,0.838,0.843126207340631
modern_bert,0.05,5,1,0.4404399014997482,,,,,
modern_bert,0.05,5,2,0.4430912648892403,,,,,
modern_bert,0.05,5,3,0.4422574637198448,,,,,
modern_bert,0.05,5,4,0.4321453925180435,,,,,
modern_bert,0.05,5,5,0.43406010499000547,,,,,
modern_bert,0.05,5,final_test,,0.3593298470856466,0.84652,0.8526418627371163,0.83784,0.8451761287979663
modern_bert,0.05,10,1,0.44113404129505157,,,,,
modern_bert,0.05,10,2,0.44773208129882813,,,,,
modern_bert,0.05,10,3,0.4455145467042923,,,,,
modern_bert,0.05,10,4,0.43921827238082883,,,,,
modern_bert,0.05,10,5,0.433493985888958,,,,,
modern_bert,0.05,10,6,0.44184355216026305,,,,,
modern_bert,0.05,10,7,0.4358735080981255,,,,,
modern_bert,0.05,10,8,0.4497366883063316,,,,,
modern_bert,0.05,10,9,0.45109538914203645,,,,,
modern_bert,0.05,10,10,0.437362550880909,,,,,
modern_bert,0.05,10,final_test,,0.3508041599075419,0.85056,0.855912930474334,0.84304,0.8494276962759955
modern_bert,0.025,5,1,0.43587314353227613,,,,,
modern_bert,0.025,5,2,0.43925655901193617,,,,,
modern_bert,0.025,5,3,0.4314515850353241,,,,,
modern_bert,0.025,5,4,0.44699153631448746,,,,,
modern_bert,0.025,5,5,0.4299880830836296,,,,,
modern_bert,0.025,5,final_test,,0.3473244120735706,0.853,0.86029231648567,0.84288,0.8514971511698388
modern_bert,0.025,10,1,0.4311186960220337,,,,,
modern_bert,0.025,10,2,0.4291648791861534,,,,,
modern_bert,0.025,10,3,0.4303298427557945,,,,,
modern_bert,0.025,10,4,0.4375760362672806,,,,,
modern_bert,0.025,10,5,0.4402015744972229,,,,,
modern_bert,0.025,10,6,0.4398606288266182,,,,,
modern_bert,0.025,10,7,0.43506418019771576,,,,,
modern_bert,0.025,10,8,0.4548044487023354,,,,,
modern_bert,0.025,10,9,0.4303948360681534,,,,,
modern_bert,0.025,10,10,0.4528256097316742,,,,,
modern_bert,0.025,10,final_test,,0.3387401986316619,0.8572,0.8622424144085673,0.85024,0.8561991460565536
modern_bert,0.01,5,1,0.4249640186929703,,,,,
modern_bert,0.01,5,2,0.4299891281604767,,,,,
modern_bert,0.01,5,3,0.4129816789698601,,,,,
modern_bert,0.01,5,4,0.40911955572366715,,,,,
modern_bert,0.01,5,5,0.4103751010298729,,,,,
modern_bert,0.01,5,final_test,,0.33490320686513103,0.85924,0.8669008905956369,0.8488,0.8577549618012046
modern_bert,0.01,10,1,0.4153467833352089,,,,,
modern_bert,0.01,10,2,0.42691536803007124,,,,,
modern_bert,0.01,10,3,0.4423762215209007,,,,,
modern_bert,0.01,10,4,0.4219918412566185,,,,,
modern_bert,0.01,10,5,0.43931769117116926,,,,,
modern_bert,0.01,10,6,0.41134298534870145,,,,,
modern_bert,0.01,10,7,0.42579280916452406,,,,,
modern_bert,0.01,10,8,0.4183868249201775,,,,,
modern_bert,0.01,10,9,0.41438552910089493,,,,,
modern_bert,0.01,10,10,0.4158516454291344,,,,,
modern_bert,0.01,10,final_test,,0.32731600900038227,0.86364,0.8715161422149571,0.85304,0.8621790984435012
modern_bert,0.005,5,1,0.41767232495069506,,,,,
modern_bert,0.005,5,2,0.4219658629131317,,,,,
modern_bert,0.005,5,3,0.4154206381106377,,,,,
modern_bert,0.005,5,4,0.4083894817233086,,,,,
modern_bert,0.005,5,5,0.39962204669952395,,,,,
modern_bert,0.005,5,final_test,,0.3249409823914989,0.86492,0.8734343020875972,0.85352,0.8633623305684807
modern_bert,0.005,10,1,0.4087405859470367,,,,,
modern_bert,0.005,10,2,0.4108310375714302,,,,,
modern_bert,0.005,10,3,0.41979329595565795,,,,,
modern_bert,0.005,10,4,0.4141830058789253,,,,,
modern_bert,0.005,10,5,0.4329186400794983,,,,,
modern_bert,0.005,10,6,0.41804098252296445,,,,,
modern_bert,0.005,10,7,0.42233291707992554,,,,,
modern_bert,0.005,10,8,0.4045717991805077,,,,,
modern_bert,0.005,10,9,0.40628673186421393,,,,,
modern_bert,0.005,10,10,0.3973764148235321,,,,,
modern_bert,0.005,10,final_test,,0.3175656649445542,0.869,0.8791615289765722,0.8556,0.8672207581593351
