model,lambda_reg,epoch,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
electra_small_discriminator,0.75,1,0.44065095996379855,,,,,
electra_small_discriminator,0.75,2,0.46407556520462034,,,,,
electra_small_discriminator,0.75,3,0.5558049546861649,,,,,
electra_small_discriminator,0.75,4,0.44507271809101107,,,,,
electra_small_discriminator,0.75,5,0.4460113682126999,,,,,
electra_small_discriminator,0.75,final_test,,0.5067237088276801,0.74532,0.6954803340345509,0.8728,0.7741157271082415
electra_small_discriminator,1,1,0.3729023740243912,,,,,
electra_small_discriminator,1,2,0.4123210969257355,,,,,
electra_small_discriminator,1,3,0.4038297509288788,,,,,
electra_small_discriminator,1,4,0.40639504690170286,,,,,
electra_small_discriminator,1,5,0.39331592765808104,,,,,
electra_small_discriminator,1,final_test,,0.47876702476428706,0.76536,0.7300277392510403,0.84216,0.7820950965824666
electra_small_discriminator,2,1,0.337292686882019,,,,,
electra_small_discriminator,2,2,0.17576788063049317,,,,,
electra_small_discriminator,2,3,0.2873494569969177,,,,,
electra_small_discriminator,2,4,0.5368722959756851,,,,,
electra_small_discriminator,2,5,0.14983612183094025,,,,,
electra_small_discriminator,2,final_test,,0.47806838532803686,0.77228,0.7640623787725968,0.78784,0.7757690338335499
electra_small_discriminator,5,1,0.09382766624450684,,,,,
electra_small_discriminator,5,2,-1.0889872834539414,,,,,
electra_small_discriminator,5,3,0.11004956017494201,,,,,
electra_small_discriminator,5,4,1.0178096739387512,,,,,
electra_small_discriminator,5,5,-2.4023531667137146,,,,,
electra_small_discriminator,5,final_test,,0.5058636189040967,0.77396,0.7894514411292367,0.7472,0.7677448522461057
electra_small_discriminator,10,1,-0.5916172613620758,,,,,
electra_small_discriminator,10,2,1.1590927517700196,,,,,
electra_small_discriminator,10,3,-3.2320797165107726,,,,,
electra_small_discriminator,10,4,-1.3654704594612121,,,,,
electra_small_discriminator,10,5,-0.8714923190498352,,,,,
electra_small_discriminator,10,final_test,,0.5261270724623079,0.76776,0.780977165883143,0.74424,0.7621661477961658
modern_bert,0.75,1,0.30952191621780395,,,,,
modern_bert,0.75,2,0.5489356651687622,,,,,
modern_bert,0.75,3,0.493165868742466,,,,,
modern_bert,0.75,4,0.5173754117941857,,,,,
modern_bert,0.75,5,0.5259101560640335,,,,,
modern_bert,0.75,final_test,,0.4708195580592616,0.77536,0.732347779127852,0.86792,0.7943911547191915
modern_bert,1,1,0.46551494015216827,,,,,
modern_bert,1,2,0.5319028216171264,,,,,
modern_bert,1,3,0.49927831600666045,,,,,
modern_bert,1,4,0.48576160594463347,,,,,
modern_bert,1,5,0.5781083511400222,,,,,
modern_bert,1,final_test,,0.4728708830569714,0.77172,0.7255761439861859,0.874,0.7929019849765939
modern_bert,2,1,0.3919136986207962,,,,,
modern_bert,2,2,0.9490852236318589,,,,,
modern_bert,2,3,0.773622936797142,,,,,
modern_bert,2,4,0.7793007323789597,,,,,
modern_bert,2,5,0.6564087899255753,,,,,
modern_bert,2,final_test,,0.5273280664527656,0.74736,0.6934918648310388,0.88656,0.7782303370786516
modern_bert,5,1,0.34849758113861085,,,,,
modern_bert,5,2,1.5688740273189545,,,,,
modern_bert,5,3,1.926894285736084,,,,,
modern_bert,5,4,-1.2533341835594176,,,,,
modern_bert,5,5,3.1462462073230744,,,,,
modern_bert,5,final_test,,1.1922953303686357,0.61624,0.5675123129820648,0.97712,0.7180059961201576
modern_bert,10,1,4.291769558830262,,,,,
modern_bert,10,2,2.219368981847763,,,,,
modern_bert,10,3,1.1505269402313232,,,,,
modern_bert,10,4,2.372197793703079,,,,,
modern_bert,10,5,2.0246603157806398,,,,,
modern_bert,10,final_test,,1.6563840593051664,0.5,0.5,1.0,0.6666666666666666
