model,lambda_reg,regularized_epochs,epoch,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
distilbert,1,5,1,0.7334600371646881,,,,,
distilbert,1,5,2,0.6993849093341827,,,,,
distilbert,1,5,3,0.6994034170532226,,,,,
distilbert,1,5,4,0.699088908214569,,,,,
distilbert,1,5,5,0.6970226641654969,,,,,
distilbert,1,5,final_test,,0.5783605599395755,0.86188,0.8413704626065958,0.89192,0.8659081200730069
distilbert,1,10,1,0.6954628902053833,,,,,
distilbert,1,10,2,0.6943749328231812,,,,,
distilbert,1,10,3,0.6943636729621887,,,,,
distilbert,1,10,4,0.6939899053001404,,,,,
distilbert,1,10,5,0.6933719340705872,,,,,
distilbert,1,10,6,0.6926696847343445,,,,,
distilbert,1,10,7,0.6923850713920593,,,,,
distilbert,1,10,8,0.6921036477279663,,,,,
distilbert,1,10,9,0.6918019116210937,,,,,
distilbert,1,10,10,0.6916469772529602,,,,,
distilbert,1,10,final_test,,0.6093993121549554,0.8642,0.8525516920932393,0.88072,0.8664069570692166
distilbert,0.75,5,1,0.6611557863044739,,,,,
distilbert,0.75,5,2,0.6487359514427185,,,,,
distilbert,0.75,5,3,0.644293134098053,,,,,
distilbert,0.75,5,4,0.6404879168987274,,,,,
distilbert,0.75,5,5,0.6396539095401764,,,,,
distilbert,0.75,5,final_test,,0.4088194231220872,0.86572,0.8505482708381259,0.88736,0.8685642692142046
distilbert,0.75,10,1,0.6402832649707794,,,,,
distilbert,0.75,10,2,0.6412245337867737,,,,,
distilbert,0.75,10,3,0.6349078661441803,,,,,
distilbert,0.75,10,4,0.6356942479228973,,,,,
distilbert,0.75,10,5,0.6397893650341034,,,,,
distilbert,0.75,10,6,0.6382099467754364,,,,,
distilbert,0.75,10,7,0.638004427652359,,,,,
distilbert,0.75,10,8,0.6348174795532227,,,,,
distilbert,0.75,10,9,0.6378973898029328,,,,,
distilbert,0.75,10,10,0.6368100584030152,,,,,
distilbert,0.75,10,final_test,,0.3897932396125542,0.87068,0.8567798567798568,0.89016,0.873151018166124
distilbert,0.5,5,1,0.554440513458252,,,,,
distilbert,0.5,5,2,0.5516695295143127,,,,,
distilbert,0.5,5,3,0.5501530885791779,,,,,
distilbert,0.5,5,4,0.5470486221599579,,,,,
distilbert,0.5,5,5,0.5469529033279419,,,,,
distilbert,0.5,5,final_test,,0.32399775611948145,0.87336,0.8642110191977525,0.88592,0.8749308682942245
distilbert,0.5,10,1,0.5482554726600647,,,,,
distilbert,0.5,10,2,0.5485672066307068,,,,,
distilbert,0.5,10,3,0.5466154464912415,,,,,
distilbert,0.5,10,4,0.5453136357307434,,,,,
distilbert,0.5,10,5,0.5449795344543457,,,,,
distilbert,0.5,10,6,0.5450121585083008,,,,,
distilbert,0.5,10,7,0.5438026968288422,,,,,
distilbert,0.5,10,8,0.5425764999389648,,,,,
distilbert,0.5,10,9,0.5418765651607513,,,,,
distilbert,0.5,10,10,0.5428381173706055,,,,,
distilbert,0.5,10,final_test,,0.31343112227710124,0.87524,0.8622287435323192,0.8932,0.8774411568234508
distilbert,0.25,5,1,0.442972319688797,,,,,
distilbert,0.25,5,2,0.44394942309379576,,,,,
distilbert,0.25,5,3,0.4398005735254288,,,,,
distilbert,0.25,5,4,0.43804487376213075,,,,,
distilbert,0.25,5,5,0.4383647951364517,,,,,
distilbert,0.25,5,final_test,,0.2961703707074945,0.8778,0.872936902787649,0.88432,0.8785915828796248
distilbert,0.25,10,1,0.4419061459159851,,,,,
distilbert,0.25,10,2,0.44145188692092896,,,,,
distilbert,0.25,10,3,0.441683915643692,,,,,
distilbert,0.25,10,4,0.4390360832262039,,,,,
distilbert,0.25,10,5,0.43879498065948486,,,,,
distilbert,0.25,10,6,0.43700552023887634,,,,,
distilbert,0.25,10,7,0.4388670671892166,,,,,
distilbert,0.25,10,8,0.4354556153202057,,,,,
distilbert,0.25,10,9,0.43611260070800784,,,,,
distilbert,0.25,10,10,0.43521305478572847,,,,,
distilbert,0.25,10,final_test,,0.29042917500373383,0.88072,0.875078814627995,0.88824,0.8816102906145784
distilbert,0.1,5,1,0.37296762610435485,,,,,
distilbert,0.1,5,2,0.3719475989627838,,,,,
distilbert,0.1,5,3,0.37157492561340333,,,,,
distilbert,0.1,5,4,0.36879640872478486,,,,,
distilbert,0.1,5,5,0.36982286440849305,,,,,
distilbert,0.1,5,final_test,,0.2848891217967046,0.88148,0.876688522000158,0.88784,0.8822290234111053
distilbert,0.1,10,1,0.3709355818772316,,,,,
distilbert,0.1,10,2,0.37045220796108247,,,,,
distilbert,0.1,10,3,0.3700418294906616,,,,,
distilbert,0.1,10,4,0.37082893588781357,,,,,
distilbert,0.1,10,5,0.3683498268842697,,,,,
distilbert,0.1,10,6,0.36993728538990023,,,,,
distilbert,0.1,10,7,0.36876886654376984,,,,,
distilbert,0.1,10,8,0.3676744046521187,,,,,
distilbert,0.1,10,9,0.36920379237651824,,,,,
distilbert,0.1,10,10,0.3663765780425072,,,,,
distilbert,0.1,10,final_test,,0.28015820408968095,0.88436,0.8797723500118567,0.8904,0.8850542721959366
distilbert,0.075,5,1,0.35930706091165543,,,,,
distilbert,0.075,5,2,0.35639646472454073,,,,,
distilbert,0.075,5,3,0.35618675688505175,,,,,
distilbert,0.075,5,4,0.357447941865921,,,,,
distilbert,0.075,5,5,0.35363226222515104,,,,,
distilbert,0.075,5,final_test,,0.27818912903284293,0.88536,0.8795902285263988,0.89296,0.8862246923382294
distilbert,0.075,10,1,0.35815666130781176,,,,,
distilbert,0.075,10,2,0.3576833103084564,,,,,
distilbert,0.075,10,3,0.35822029754400253,,,,,
distilbert,0.075,10,4,0.3543117524456978,,,,,
distilbert,0.075,10,5,0.35512649351358416,,,,,
distilbert,0.075,10,6,0.3544400086164474,,,,,
distilbert,0.075,10,7,0.3536810671043396,,,,,
distilbert,0.075,10,8,0.3517020915174484,,,,,
distilbert,0.075,10,9,0.3518978115916252,,,,,
distilbert,0.075,10,10,0.35198012201070783,,,,,
distilbert,0.075,10,final_test,,0.2733507821442451,0.88776,0.8838295850490973,0.89288,0.8883317414836039
distilbert,0.05,5,1,0.34331472057342527,,,,,
distilbert,0.05,5,2,0.3430258555269241,,,,,
distilbert,0.05,5,3,0.3408487999987602,,,,,
distilbert,0.05,5,4,0.34042601979255677,,,,,
distilbert,0.05,5,5,0.3377873853445053,,,,,
distilbert,0.05,5,final_test,,0.270831074004055,0.88876,0.8844237006565936,0.8944,0.8893838749453085
distilbert,0.05,10,1,0.34048295426368713,,,,,
distilbert,0.05,10,2,0.34168086612701415,,,,,
distilbert,0.05,10,3,0.3398899784040451,,,,,
distilbert,0.05,10,4,0.3383974635529518,,,,,
distilbert,0.05,10,5,0.3390967614746094,,,,,
distilbert,0.05,10,6,0.33646061367034913,,,,,
distilbert,0.05,10,7,0.33877647436380387,,,,,
distilbert,0.05,10,8,0.33600766285419464,,,,,
distilbert,0.05,10,9,0.33743386457681657,,,,,
distilbert,0.05,10,10,0.3359969434046745,,,,,
distilbert,0.05,10,final_test,,0.26705080099130957,0.89148,0.8882805681187019,0.8956,0.8919252678962674
distilbert,0.025,5,1,0.32656128850221633,,,,,
distilbert,0.025,5,2,0.32426303178310395,,,,,
distilbert,0.025,5,3,0.3209518851828575,,,,,
distilbert,0.025,5,4,0.32246129948854446,,,,,
distilbert,0.025,5,5,0.32068351005554196,,,,,
distilbert,0.025,5,final_test,,0.26475565664658485,0.89176,0.8900748765333758,0.89392,0.8919932944839147
distilbert,0.025,10,1,0.3245133859229088,,,,,
distilbert,0.025,10,2,0.32413678481936453,,,,,
distilbert,0.025,10,3,0.3227043583369255,,,,,
distilbert,0.025,10,4,0.32225349422454835,,,,,
distilbert,0.025,10,5,0.3229304061102867,,,,,
distilbert,0.025,10,6,0.3239658988380432,,,,,
distilbert,0.025,10,7,0.31849086966872214,,,,,
distilbert,0.025,10,8,0.32144668023586276,,,,,
distilbert,0.025,10,9,0.3199714392948151,,,,,
distilbert,0.025,10,10,0.3181323228061199,,,,,
distilbert,0.025,10,final_test,,0.26138268183453234,0.89368,0.8912386706948641,0.8968,0.8940106866576282
distilbert,0.01,5,1,0.3139328250312805,,,,,
distilbert,0.01,5,2,0.3131387602305412,,,,,
distilbert,0.01,5,3,0.3127744370663166,,,,,
distilbert,0.01,5,4,0.310192911144495,,,,,
distilbert,0.01,5,5,0.3101420504665375,,,,,
