model,lambda_reg,epoch,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
roberta,0.01,1,0.3458107662236691,,,,,
roberta,0.01,2,0.33889148530960084,,,,,
roberta,0.01,3,0.3337410935997963,,,,,
roberta,0.01,4,0.33001315730452535,,,,,
roberta,0.01,5,0.327519544775486,,,,,
roberta,0.01,final_test,,0.2505799986342217,0.90036,0.9103731037310373,0.88816,0.8991293784166835
roberta,0.05,1,0.31283645722210407,,,,,
roberta,0.05,2,0.3121013031637669,,,,,
roberta,0.05,3,0.31187580455422403,,,,,
roberta,0.05,4,0.3103914530301094,,,,,
roberta,0.05,5,0.3139221581029892,,,,,
roberta,0.05,final_test,,0.24305960936328813,0.9038,0.9030583725944262,0.90472,0.9038884226511609
roberta,0.1,1,0.2904903174626827,,,,,
roberta,0.1,2,0.2968534210205078,,,,,
roberta,0.1,3,0.29490937746047974,,,,,
roberta,0.1,4,0.2913459933745861,,,,,
roberta,0.1,5,0.2883565911769867,,,,,
roberta,0.1,final_test,,0.23967131274029546,0.9032,0.8872157344806392,0.92384,0.9051575482050479
roberta,0.25,1,0.24006442349910737,,,,,
roberta,0.25,2,0.2481894631767273,,,,,
roberta,0.25,3,0.2509604028630257,,,,,
roberta,0.25,4,0.24086080459952355,,,,,
roberta,0.25,5,0.24135244334697722,,,,,
roberta,0.25,final_test,,0.23540778048884692,0.90468,0.9023303905193669,0.9076,0.9049575240298329
roberta,0.5,1,0.16808855333566666,,,,,
roberta,0.5,2,0.18438773885250093,,,,,
roberta,0.5,3,0.1899795282459259,,,,,
roberta,0.5,4,0.19849916800022124,,,,,
roberta,0.5,5,0.18332553475618363,,,,,
roberta,0.5,final_test,,0.2397452614854685,0.9032,0.8857339660186744,0.92584,0.9053430337166549
distilbert,0.01,1,0.3437652121913433,,,,,
distilbert,0.01,2,0.3415225090742111,,,,,
distilbert,0.01,3,0.339855667090416,,,,,
distilbert,0.01,4,0.3381867791187763,,,,,
distilbert,0.01,5,0.33543210423469544,,,,,
distilbert,0.01,final_test,,0.3048375651078872,0.871,0.8539806121670102,0.89504,0.8740283582672551
distilbert,0.05,1,0.3210070374572277,,,,,
distilbert,0.05,2,0.31948305923223497,,,,,
distilbert,0.05,3,0.31739298439383506,,,,,
distilbert,0.05,4,0.3169204857254028,,,,,
distilbert,0.05,5,0.31791200319051743,,,,,
distilbert,0.05,final_test,,0.2956855315375437,0.875,0.8610490641608257,0.89432,0.8773692265431857
distilbert,0.1,1,0.2994698319017887,,,,,
distilbert,0.1,2,0.29497204860806464,,,,,
distilbert,0.1,3,0.29863581234574316,,,,,
distilbert,0.1,4,0.29797215363383295,,,,,
distilbert,0.1,5,0.2954346624982357,,,,,
distilbert,0.1,final_test,,0.28747198599142215,0.87956,0.8795296376289897,0.8796,0.8795648174073037
distilbert,0.25,1,0.25049657276511195,,,,,
distilbert,0.25,2,0.26532661696195603,,,,,
distilbert,0.25,3,0.24479306252002717,,,,,
distilbert,0.25,4,0.2537425355362892,,,,,
distilbert,0.25,5,0.2634481461429596,,,,,
distilbert,0.25,final_test,,0.28462162096427557,0.88028,0.8739085974986235,0.8888,0.8812913972950462
distilbert,0.5,1,0.1960340909576416,,,,,
distilbert,0.5,2,0.24530231097459793,,,,,
distilbert,0.5,3,0.23742623312234878,,,,,
distilbert,0.5,4,0.3166981814265251,,,,,
distilbert,0.5,5,0.18708020652770996,,,,,
distilbert,0.5,final_test,,0.29185250379286365,0.87648,0.8640160891089109,0.8936,0.8785590687431177
