model,optimizer,hidden_layers,learning_rate,epoch,train_loss,val_loss,accuracy,precision,recall,f1,best_val_loss,best_accuracy,best_f1
distilbert,adam,0_hidden,1e-05,1,0.7410907838736751,0.610020517061154,0.8492167101827677,0.7221947463474614,0.8492167101827677,0.780571942575336,0.610020517061154,0.8492167101827677,0.780571942575336
distilbert,adam,0_hidden,1e-05,2,0.5473706510608564,0.48511442852516967,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.48511442852516967,0.8498694516971279,0.7808962781296123
distilbert,adam,0_hidden,1e-05,3,0.47084929410844806,0.4391829911619425,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.4391829911619425,0.8498694516971279,0.7808962781296123
distilbert,adam,0_hidden,1e-05,4,0.44323230100985295,0.42231380970527727,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.42231380970527727,0.8498694516971279,0.7808962781296123
distilbert,adam,0_hidden,1e-05,5,0.43072951972173334,0.41500862579171854,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.41500862579171854,0.8498694516971279,0.7808962781296123
distilbert,adam,0_hidden,5e-05,1,0.4515075401327629,0.3894137666405489,0.8493553125510037,0.7214044469586133,0.8493553125510037,0.780168572326436,0.3894137666405489,0.8493553125510037,0.780168572326436
distilbert,adam,0_hidden,5e-05,2,0.3892414198103835,0.36301080758372944,0.8493553125510037,0.7214044469586133,0.8493553125510037,0.780168572326436,0.36301080758372944,0.8493553125510037,0.780168572326436
distilbert,adam,0_hidden,5e-05,3,0.3663677413882226,0.3441054938205828,0.8501713726130243,0.8726383245799051,0.8501713726130243,0.7821363135736948,0.3441054938205828,0.8501713726130243,0.7821363135736948
distilbert,adam,0_hidden,5e-05,4,0.35048013041403836,0.33009853633120656,0.8550677329851477,0.8686660888832747,0.8550677329851477,0.7941502802789069,0.33009853633120656,0.8550677329851477,0.7941502802789069
distilbert,adam,0_hidden,5e-05,5,0.33787668969083395,0.31952205455551547,0.859800881344867,0.8699882573358373,0.859800881344867,0.8053941651122206,0.31952205455551547,0.859800881344867,0.8053941651122206
distilbert,adam,0_hidden,0.0001,1,0.39590341551756214,0.3509515380072925,0.8487486398258978,0.8500165545165369,0.8487486398258978,0.7807985713169122,0.3509515380072925,0.8487486398258978,0.7807985713169122
distilbert,adam,0_hidden,0.0001,2,0.33913720149491744,0.31976302133666146,0.8628944504896626,0.8631211864837897,0.8628944504896626,0.8158098127602392,0.31976302133666146,0.8628944504896626,0.8158098127602392
distilbert,adam,0_hidden,0.0001,3,0.3160233394712132,0.30424098370389807,0.8731229597388466,0.8742595648370862,0.8731229597388466,0.8366042591641675,0.30424098370389807,0.8731229597388466,0.8366042591641675
distilbert,adam,0_hidden,0.0001,4,0.30348705492583017,0.29501072720934945,0.8811751904243743,0.8797474016290568,0.8811751904243743,0.8526060428688123,0.29501072720934945,0.8811751904243743,0.8526060428688123
distilbert,adam,0_hidden,0.0001,5,0.2964996157701997,0.2905218040622357,0.8816104461371056,0.8819076058618865,0.8816104461371056,0.8525804902491703,0.2905218040622357,0.8816104461371056,0.8526060428688123
distilbert,adam,0_hidden,0.0005,1,0.322863679238189,0.277214379577506,0.8925161185015914,0.8907865724038788,0.8925161185015914,0.8727019326032659,0.277214379577506,0.8925161185015914,0.8727019326032659
distilbert,adam,0_hidden,0.0005,2,0.2899184500064224,0.2716055375283132,0.8944748224924508,0.8930402821210142,0.8944748224924508,0.8755829028660927,0.2716055375283132,0.8944748224924508,0.8755829028660927
distilbert,adam,0_hidden,0.0005,3,0.28625666274745065,0.2705009835760058,0.8915367665061618,0.8905691630674923,0.8915367665061618,0.8707384432224466,0.2705009835760058,0.8944748224924508,0.8755829028660927
distilbert,adam,0_hidden,0.0005,4,0.28600772295156907,0.2805659147392832,0.8771729372398597,0.8807386123179355,0.8771729372398597,0.8446032957428126,0.2705009835760058,0.8944748224924508,0.8755829028660927
distilbert,adam,0_hidden,0.0005,5,0.2867783421903421,0.2693377964918358,0.8959438504855953,0.8943026148465192,0.8959438504855953,0.8779562123076557,0.2693377964918358,0.8959438504855953,0.8779562123076557
distilbert,adam,0_hidden,0.001,1,0.30162480137755915,0.28519991765067076,0.9013449986941761,0.894189044407731,0.9013449986941761,0.8911973202486531,0.28519991765067076,0.9013449986941761,0.8911973202486531
distilbert,adam,0_hidden,0.001,2,0.2850802277090811,0.2782810057877001,0.8957952468007313,0.8893482494344649,0.8957952468007313,0.8810469028821217,0.2782810057877001,0.9013449986941761,0.8911973202486531
distilbert,adam,0_hidden,0.001,3,0.28473969641537955,0.27705146474977627,0.8969051971794202,0.8908970071221077,0.8969051971794202,0.8823661208545154,0.27705146474977627,0.9013449986941761,0.8911973202486531
