model,optimizer,hidden_layers,learning_rate,epoch,train_loss,val_loss,accuracy,precision,recall,f1,best_val_loss,best_accuracy,best_f1
distilbert,adam,0_hidden,1e-05,1,0.516227586695793,0.45227231675138074,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.45227231675138074,0.8498694516971279,0.7808962781296123
distilbert,adam,0_hidden,1e-05,2,0.4476942515715607,0.4215369038283825,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.4215369038283825,0.8498694516971279,0.7808962781296123
distilbert,adam,0_hidden,1e-05,3,0.42895417246121337,0.41289880499243736,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.41289880499243736,0.8498694516971279,0.7808962781296123
distilbert,adam,0_hidden,1e-05,4,0.4237463719384166,0.40812386727581423,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.40812386727581423,0.8498694516971279,0.7808962781296123
distilbert,adam,0_hidden,1e-05,5,0.4191529912285643,0.40378210647031665,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.40378210647031665,0.8498694516971279,0.7808962781296123
distilbert,adam,0_hidden,5e-05,1,0.46423270458029703,0.4074138128198683,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.4074138128198683,0.8498694516971279,0.7808962781296123
distilbert,adam,0_hidden,5e-05,2,0.4089022366325164,0.38946563719461363,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.38946563719461363,0.8498694516971279,0.7808962781296123
distilbert,adam,0_hidden,5e-05,3,0.39357307977371364,0.37457396276295185,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.37457396276295185,0.8498694516971279,0.7808962781296123
distilbert,adam,0_hidden,5e-05,4,0.381810025664596,0.36204126570373774,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.36204126570373774,0.8498694516971279,0.7808962781296123
distilbert,adam,0_hidden,5e-05,5,0.3699735748939041,0.35141805885359645,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.35141805885359645,0.8498694516971279,0.7808962781296123
distilbert,adam,0_hidden,0.0001,1,0.45092956546703766,0.38868690297628444,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.38868690297628444,0.8498694516971279,0.7808962781296123
distilbert,adam,0_hidden,0.0001,2,0.3890528391375554,0.36362899746745825,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.36362899746745825,0.8498694516971279,0.7808962781296123
distilbert,adam,0_hidden,0.0001,3,0.3671766256150004,0.3445393309618036,0.8511749347258486,0.8485261162064889,0.8511749347258486,0.7846452754013787,0.3445393309618036,0.8511749347258486,0.7846452754013787
distilbert,adam,0_hidden,0.0001,4,0.3532228969407144,0.33097589621320367,0.8531331592689295,0.8624591787034597,0.8531331592689295,0.78925015017765,0.33097589621320367,0.8531331592689295,0.78925015017765
distilbert,adam,0_hidden,0.0001,5,0.34021503452999474,0.31964829362307984,0.8629242819843342,0.8679677605465183,0.8629242819843342,0.8128270918032899,0.31964829362307984,0.8629242819843342,0.8128270918032899
distilbert,adam,0_hidden,0.0005,1,0.38221140573525864,0.32121860266973573,0.8612924281984334,0.8650859131890061,0.8612924281984334,0.8094173110999231,0.32121860266973573,0.8612924281984334,0.8094173110999231
distilbert,adam,0_hidden,0.0005,2,0.3205682529676365,0.29571590448419255,0.8939295039164491,0.8908012544133111,0.8939295039164491,0.8741930186502854,0.29571590448419255,0.8939295039164491,0.8741930186502854
distilbert,adam,0_hidden,0.0005,3,0.307882603715045,0.28244665909248096,0.8994778067885117,0.8959136988971398,0.8994778067885117,0.8832136640557006,0.28244665909248096,0.8994778067885117,0.8832136640557006
distilbert,adam,0_hidden,0.0005,4,0.2998810325878096,0.27440337068401277,0.8926240208877284,0.8912330681780103,0.8926240208877284,0.8710861590950333,0.27440337068401277,0.8994778067885117,0.8832136640557006
distilbert,adam,0_hidden,0.0005,5,0.2947774595792549,0.2707488032368322,0.8971932114882507,0.8951894984940941,0.8971932114882507,0.8786820802523845,0.2707488032368322,0.8994778067885117,0.8832136640557006
distilbert,adam,0_hidden,0.001,1,0.3526408696065684,0.2924736609372,0.8730417754569191,0.8762635056662968,0.8730417754569191,0.834365554426621,0.2924736609372,0.8730417754569191,0.834365554426621
distilbert,adam,0_hidden,0.001,2,0.3028707489877083,0.2746098561522861,0.889686684073107,0.8893114459859708,0.889686684073107,0.8657562122717137,0.2746098561522861,0.889686684073107,0.8657562122717137
distilbert,adam,0_hidden,0.001,3,0.2917844156099984,0.2741961501693974,0.9066579634464752,0.9013866625330745,0.9066579634464752,0.8955683575037465,0.2741961501693974,0.9066579634464752,0.8955683575037465
distilbert,adam,0_hidden,0.001,4,0.29275195185805114,0.2693792023540785,0.9073107049608355,0.9026930469081254,0.9073107049608355,0.8958532798075967,0.2693792023540785,0.9073107049608355,0.8958532798075967
distilbert,adam,0_hidden,0.001,5,0.28887944950603006,0.26589671219699085,0.8975195822454308,0.8942622697167987,0.8975195822454308,0.8799684160222664,0.26589671219699085,0.9073107049608355,0.8958532798075967
distilbert,adam,1_hidden,1e-05,1,0.49923932863589054,0.4168964580943187,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.4168964580943187,0.8498694516971279,0.7808962781296123
distilbert,adam,1_hidden,1e-05,2,0.4211744688276211,0.40289495745673776,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.40289495745673776,0.8498694516971279,0.7808962781296123
distilbert,adam,1_hidden,1e-05,3,0.4093916435621426,0.3921035012851159,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.3921035012851159,0.8498694516971279,0.7808962781296123
distilbert,adam,1_hidden,1e-05,4,0.40054158675764,0.3811393735619883,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.3811393735619883,0.8498694516971279,0.7808962781296123
distilbert,adam,1_hidden,1e-05,5,0.39052062997151915,0.370690126127253,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.370690126127253,0.8498694516971279,0.7808962781296123
distilbert,adam,1_hidden,5e-05,1,0.42850633677552324,0.3765441838962336,0.8498694516971279,0.722278084927977,0.8498694516971279,0.7808962781296123,0.3765441838962336,0.8498694516971279,0.7808962781296123
distilbert,adam,1_hidden,5e-05,2,0.37096359524340916,0.33639253458629054,0.8531331592689295,0.8624591787034597,0.8531331592689295,0.78925015017765,0.33639253458629054,0.8531331592689295,0.78925015017765
distilbert,adam,1_hidden,5e-05,3,0.3406177353765572,0.3097941881666581,0.8639033942558747,0.8717311673646693,0.8639033942558747,0.8143930332724317,0.3097941881666581,0.8639033942558747,0.8143930332724317
distilbert,adam,1_hidden,5e-05,4,0.32047584310524146,0.2939061482902616,0.8714099216710183,0.8741160140085965,0.8714099216710183,0.8313000255463642,0.2939061482902616,0.8714099216710183,0.8313000255463642
