model,original_epochs,regularized_epochs,lambda_reg,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
distilbert,5,10,0.0,0.3400058084908797,0.31446927299304883,0.86524,0.866989262245461,0.86524,0.8650792243020868
distilbert,5,10,0.01,0.3339401726820031,0.3087102605067954,0.867,0.868644982386203,0.867,0.8668514648200947
distilbert,5,10,0.025,0.3358947342755843,0.3087511007883111,0.86664,0.8685934865035108,0.86664,0.8664630689077801
distilbert,5,10,0.05,0.34194268088559715,0.3105803408793041,0.86676,0.8693413116534939,0.86676,0.8665267902690298
distilbert,5,10,0.1,0.3732518967317075,0.3068201406573763,0.86912,0.8702547306325095,0.86912,0.8690196451573738
distilbert,5,10,0.25,0.4908220211462099,0.309941578884514,0.86876,0.8703970030388193,0.86876,0.8686148328441338
distilbert,5,10,0.5,0.6506996893761109,0.302742389239827,0.87384,0.8740525911443453,0.87384,0.8738220718324272
distilbert,5,10,1,0.9899036482888826,0.3025127250929268,0.87384,0.8740525911443453,0.87384,0.8738220718324272
distilbert,10,10,0.0,0.3350607877483173,0.30580110087686657,0.87032,0.8704753886404476,0.87032,0.8703064006404357
distilbert,10,10,0.01,0.32575126509277186,0.3019616888189802,0.87216,0.8721600381091879,0.87216,0.8721599967272958
distilbert,10,10,0.025,0.3288013051663126,0.300057476424441,0.87336,0.8733878732553835,0.87336,0.8733576365495563
distilbert,10,10,0.05,0.341985253959286,0.2989995491747953,0.87476,0.8747707670142281,0.87476,0.8747591004697632
distilbert,10,10,0.1,0.3725796122940219,0.3015938927324451,0.87404,0.8745718104640331,0.87404,0.873995275177345
distilbert,10,10,0.25,0.4802528814393647,0.302755170482762,0.87296,0.8730273812787789,0.87296,0.872954262817782
distilbert,10,10,0.5,0.6208673387157674,0.3031503813607352,0.87352,0.8737048409915597,0.87352,0.8735043582573178
distilbert,10,10,1,0.9718593042723986,0.30300402169933127,0.87356,0.8737461937758062,0.87356,0.8735442504928043
