model,original_epochs,regularized_epochs,lambda_reg,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
electra_small_discriminator,5,10,0.0,0.550550174956419,0.5191827601924235,0.73756,0.7559310166562853,0.73756,0.7327643815737916
electra_small_discriminator,5,10,0.01,0.5367510124128692,0.49308908502666315,0.7566,0.7635719443448337,0.7566,0.7549796948351141
electra_small_discriminator,5,10,0.025,0.5343194059571441,0.5245519821741143,0.73104,0.7607279889459422,0.73104,0.7231593321829717
electra_small_discriminator,5,10,0.05,0.5211236552924526,0.5196302930007175,0.7322,0.7592993659484154,0.7322,0.7250153411866957
electra_small_discriminator,5,10,0.1,0.5014567256582027,0.5122001421998958,0.7392,0.7638973759697161,0.7392,0.7329519402093353
electra_small_discriminator,5,10,0.25,0.4433701698269163,0.4914968454716157,0.756,0.7658153557756453,0.756,0.7537265596374246
electra_small_discriminator,5,10,0.5,0.35103071435373656,0.5111381919408331,0.74204,0.7663303975809752,0.74204,0.7360210151668187
electra_small_discriminator,5,10,1,0.16203589045575686,0.5111482896062792,0.74208,0.7663602515606914,0.74208,0.7360652107809752
electra_small_discriminator,10,10,0.0,0.5470994969411772,0.49949346391522154,0.75148,0.7621602474081522,0.75148,0.7489228174612985
electra_small_discriminator,10,10,0.01,0.5382091685825464,0.5007142959808817,0.7532,0.7635054388455046,0.7532,0.7507631478910759
electra_small_discriminator,10,10,0.025,0.5289184387241092,0.4908386152617785,0.7614,0.7665833163367262,0.7614,0.7602345292019317
electra_small_discriminator,10,10,0.05,0.5217068320026204,0.48376528705869404,0.7668,0.7704900907354346,0.7668,0.7660019355613481
electra_small_discriminator,10,10,0.1,0.500652976790253,0.484395409421045,0.76592,0.7687915782727287,0.76592,0.7652931396599701
electra_small_discriminator,10,10,0.25,0.456489662126619,0.4830539034945624,0.76664,0.770165874746425,0.76664,0.7658761253452577
electra_small_discriminator,10,10,0.5,0.37874929241988126,0.4876688463347299,0.7586,0.7657260656105992,0.7586,0.7569706499683734
electra_small_discriminator,10,10,1,0.23557728103228978,0.487787839709496,0.75852,0.7656295646732981,0.75852,0.7568933148238821
