model,original_epochs,regularized_epochs,lambda_reg,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
electra_small_discriminator,5,10,0.0,0.5427902939976478,0.5112075598872438,0.74352,0.759043723585029,0.74352,0.7396190348718822
electra_small_discriminator,5,10,0.025,0.5383476219615158,0.49597293898767353,0.75652,0.7625411377768009,0.75652,0.7551159528095672
electra_small_discriminator,5,10,0.05,0.5187309880037697,0.4953926868584691,0.7552,0.7646329582347804,0.7552,0.7529988841361354
electra_small_discriminator,5,10,0.1,0.49984452949494734,0.4917967897288653,0.75708,0.7662762512421722,0.75708,0.7549643310618797
electra_small_discriminator,5,10,0.25,0.4422850751755189,0.4886366156290989,0.76068,0.767762799890145,0.76068,0.7590868552503678
electra_small_discriminator,5,10,0.5,0.3497502788597224,0.48436434414921975,0.765,0.7698218080976929,0.765,0.7639454058945607
electra_small_discriminator,5,10,1,0.16370638916078878,0.4846991318829206,0.765,0.7698218080976929,0.765,0.7639454058945607
electra_small_discriminator,10,10,0.025,0.5409889415818818,0.48679463139602114,0.76888,0.7690391265274698,0.76888,0.7688458202485186
electra_small_discriminator,10,10,0.05,0.5245298697632186,0.4892321843273786,0.76296,0.7669595235109556,0.76296,0.7620688431278045
electra_small_discriminator,10,10,0.1,0.5052583944432589,0.4876611564232379,0.7624,0.7668938675574726,0.7624,0.7613956152670018
electra_small_discriminator,10,10,0.25,0.4586460851893133,0.4872885142662087,0.76248,0.7674026317335063,0.76248,0.7613818157390412
electra_small_discriminator,10,10,0.5,0.3747250735759735,0.4838900666455833,0.76688,0.7700960811429253,0.76688,0.7661839779620199
electra_small_discriminator,10,10,1,0.20777127572468349,0.48426221584787177,0.76688,0.7700960811429253,0.76688,0.7661839779620199
