model,epochs,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
bert,5,0.45463368644603,0.43439474422782565,0.79564,0.7988776357448925,0.79564,0.7950850572206988
bert,10,0.4471013706346696,0.42472492977118764,0.79976,0.800108560006629,0.79976,0.7997018411061065
albert,5,0.4550070887048963,0.4430225694639059,0.79144,0.7938757247622334,0.79144,0.7910069516907926
albert,10,0.4411751806964801,0.4313364214170307,0.79872,0.7990480360780263,0.79872,0.798664787119765
