model,epochs,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
deberta,5,0.5958761089860973,0.577854446909478,0.7674,0.7711344347815332,0.7674,0.7665963111819767
deberta,10,0.5520564618205231,0.5277602583722891,0.75936,0.778288230382139,0.75936,0.7551973363386767
