model,epoch,train_loss,val_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
albert,1,0.5264250877064844,0,,,,,
albert,2,0.45181280111397065,0,,,,,
albert,3,0.44981338648138636,0,,,,,
albert,4,0.4445960732011252,0.4189368758853513,,,,,
albert,5,0.44244863332195,0,,,,,
albert,6,0.4386739885852799,0,,,,,
albert,7,0.43614957719965003,0,,,,,
albert,8,0.43611476348709466,0.4132452334824923,,,,,
albert,9,0.43141905642135436,0,,,,,
albert,10,0.4315619594819715,0,,,,,
albert,11,0.4274225887328253,0,,,,,
albert,12,0.42525647342758,0.4117651968403116,,,,,
albert,13,0.4205572737270033,0,,,,,
albert,14,0.42576645089221626,0,,,,,
albert,15,0.4198216905940136,0,,,,,
albert,16,0.42076961936396967,0.4102062686291057,,,,,
albert,17,0.41566489969623904,0,,,,,
albert,18,0.4190892413620833,0,,,,,
albert,19,0.41533744610221585,0,,,,,
albert,20,0.41591117226936386,0.40876128483427804,,,,,
albert,final_test,,,0.40876128483427804,0.81232,0.8123334408323595,0.81232,0.8123179808417651
bert,1,0.522372637718668,0,,,,,
bert,2,0.45329287700636295,0,,,,,
bert,3,0.45189145892877575,0,,,,,
bert,4,0.44823671971291057,0.40700166385742387,,,,,
bert,5,0.44729986764914853,0,,,,,
bert,6,0.44076497621133554,0,,,,,
bert,7,0.4387271899589345,0,,,,,
bert,8,0.4399688792768306,0.4026795645349886,,,,,
bert,9,0.4398863290699338,0,,,,,
bert,10,0.4381227330832015,0,,,,,
bert,11,0.43731528414760124,0,,,,,
bert,12,0.43818398424431976,0.3996477761733097,,,,,
bert,13,0.43540295201543805,0,,,,,
bert,14,0.43832231188575504,0,,,,,
bert,15,0.4331637526065664,0,,,,,
bert,16,0.4305503147291359,0.39805069161782797,,,,,
bert,17,0.4306146782880705,0,,,,,
bert,18,0.4267023231974795,0,,,,,
bert,19,0.4295416038509599,0,,,,,
bert,20,0.4297668456516431,0.39556580361262467,,,,,
bert,final_test,,,0.39556580361262467,0.81796,0.8181184810283632,0.81796,0.8179373248948915
distilbert,1,0.4861601049262823,0,,,,,
distilbert,2,0.4220178145116823,0,,,,,
distilbert,3,0.41288446693163383,0,,,,,
distilbert,4,0.4131853201415244,0.3846185466850216,,,,,
distilbert,5,0.4068579870685506,0,,,,,
distilbert,6,0.40668610277003536,0,,,,,
distilbert,7,0.40334335974371743,0,,,,,
distilbert,8,0.4028894674373756,0.3798023157026702,,,,,
distilbert,9,0.40294348441841354,0,,,,,
distilbert,10,0.4017094528005814,0,,,,,
distilbert,11,0.3996344636541792,0,,,,,
distilbert,12,0.3997820591123838,0.3776974186863719,,,,,
distilbert,13,0.395433798561055,0,,,,,
distilbert,14,0.39920587208949065,0,,,,,
distilbert,15,0.39646218067853783,0,,,,,
distilbert,16,0.39522285740858304,0.37520109341907065,,,,,
distilbert,17,0.38978176403812165,0,,,,,
distilbert,18,0.39298502213761966,0,,,,,
distilbert,19,0.38758997052374056,0,,,,,
distilbert,20,0.3913479992644343,0.37504789144663536,,,,,
distilbert,final_test,,,0.37504789144663536,0.83204,0.8320616791116071,0.83204,0.8320372585793198
roberta,1,0.55382147592493,0,,,,,
roberta,2,0.4325236003996086,0,,,,,
roberta,3,0.42422766993996125,0,,,,,
roberta,4,0.42224065648178527,0.36010720774231053,,,,,
roberta,5,0.4207319917439728,0,,,,,
roberta,6,0.4194420885368562,0,,,,,
roberta,7,0.4129523536093862,0,,,,,
roberta,8,0.4155910328717012,0.3589756707038185,,,,,
roberta,9,0.4133028859893481,0,,,,,
roberta,10,0.4117416815399666,0,,,,,
roberta,11,0.4094893147099956,0,,,,,
roberta,12,0.41378150200584496,0.35572312637610615,,,,,
roberta,13,0.40428212066720254,0,,,,,
roberta,14,0.40848208804658337,0,,,,,
roberta,15,0.4050670166715017,0,,,,,
roberta,16,0.40537274567385323,0.35154015928154103,,,,,
roberta,17,0.4034546961243993,0,,,,,
roberta,18,0.4038863546969947,0,,,,,
roberta,19,0.40190212728881103,0,,,,,
roberta,20,0.4024558589482109,0.35061435157853826,,,,,
roberta,final_test,,,0.35061435157853826,0.8428,0.8430814123912813,0.8428,0.842767757579012
electra_small_discriminator,1,0.6484062916486597,0,,,,,
electra_small_discriminator,2,0.6173900069522309,0,,,,,
electra_small_discriminator,3,0.6142149265195342,0,,,,,
electra_small_discriminator,4,0.6091985476756813,0.5667282791947678,,,,,
electra_small_discriminator,5,0.6091606024359558,0,,,,,
electra_small_discriminator,6,0.6081859063659809,0,,,,,
electra_small_discriminator,7,0.6085281128198461,0,,,,,
electra_small_discriminator,8,0.6048043262134816,0.5622870927713501,,,,,
electra_small_discriminator,9,0.6035984593442977,0,,,,,
electra_small_discriminator,10,0.6060276985816748,0,,,,,
electra_small_discriminator,11,0.6026656721657236,0,,,,,
electra_small_discriminator,12,0.6086433609364815,0.566016480155046,,,,,
electra_small_discriminator,13,0.6035658277842911,0,,,,,
electra_small_discriminator,14,0.6032858812038668,0,,,,,
electra_small_discriminator,15,0.6029865458197725,0,,,,,
electra_small_discriminator,16,0.6038151915570672,0.5567709461321682,,,,,
electra_small_discriminator,17,0.599897918873541,0,,,,,
electra_small_discriminator,18,0.6028177399743617,0,,,,,
electra_small_discriminator,19,0.6031380099740764,0,,,,,
electra_small_discriminator,20,0.6015736277638837,0.5560368613714753,,,,,
electra_small_discriminator,final_test,,,0.5560368613714753,0.72056,0.7219578929405353,0.72056,0.7201193272089769
modern_bert,1,0.5829302413926548,0,,,,,
modern_bert,2,0.5022529636009794,0,,,,,
modern_bert,3,0.491593133417445,0,,,,,
modern_bert,4,0.48509998671991733,0.45439224033804176,,,,,
modern_bert,5,0.4820039930228461,0,,,,,
modern_bert,6,0.48117928257449194,0,,,,,
modern_bert,7,0.4790160764373424,0,,,,,
modern_bert,8,0.47361340740324975,0.4450784958088657,,,,,
modern_bert,9,0.4703267753858331,0,,,,,
modern_bert,10,0.46725803761434953,0,,,,,
modern_bert,11,0.4680499525136545,0,,,,,
modern_bert,12,0.470548755314704,0.44302860166703517,,,,,
modern_bert,13,0.464608128062823,0,,,,,
modern_bert,14,0.464303752806655,0,,,,,
modern_bert,15,0.46197900331447467,0,,,,,
modern_bert,16,0.4599342677868564,0.4398990521566157,,,,,
modern_bert,17,0.45961050340287285,0,,,,,
modern_bert,18,0.45745015340742207,0,,,,,
modern_bert,19,0.45559659198889424,0,,,,,
modern_bert,20,0.45562682113945674,0.4389655920948001,,,,,
modern_bert,final_test,,,0.4389655920948001,0.79156,0.7915617932216531,0.79156,0.7915596795021632
deberta,1,0.6909488888406173,0,,,,,
deberta,2,0.6031738420518178,0,,,,,
deberta,3,0.5601386947274895,0,,,,,
deberta,4,0.5490224944404967,0.4743811651654375,,,,,
deberta,5,0.5451916505321049,0,,,,,
deberta,6,0.5465875492691612,0,,,,,
deberta,7,0.5404152915939946,0,,,,,
deberta,8,0.5419410298973494,0.46627768323120977,,,,,
deberta,9,0.534355367213888,0,,,,,
deberta,10,0.535962473055299,0,,,,,
deberta,11,0.5325044000179281,0,,,,,
deberta,12,0.5373452393408396,0.4557210868433051,,,,,
deberta,13,0.5366946906518723,0,,,,,
deberta,14,0.5317322855871301,0,,,,,
deberta,15,0.5308672833999456,0,,,,,
deberta,16,0.5342545620787242,0.45483322884894606,,,,,
deberta,17,0.5270065308017603,0,,,,,
deberta,18,0.5315640898884982,0,,,,,
deberta,19,0.5332435822627976,0,,,,,
deberta,20,0.5299629723022782,0.4543217123031464,,,,,
deberta,final_test,,,0.4543217123031464,0.7996,0.8029167964288347,0.7996,0.7990499227953815
