model,epochs,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
electra_small_discriminator,5,0.6102482204318351,0.5712396486869553,0.70692,0.7077434872059344,0.70692,0.7066292724253325
electra_small_discriminator,10,0.607286491166905,0.5772412115579371,0.69332,0.7059978681995411,0.69332,0.6885277117930757
t5,5,0.21969533470147254,0.34271890742470845,0.86976,0.869891849577306,0.86976,0.8697483928103775
t5,10,0.0957831789500049,0.5349651283835826,0.85684,0.8601313702399158,0.85684,0.8565121532281819
