model,experiment_type,lambda_reg,epochs,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
albert,naive_baseline,,5,0.2833152227199047,0.2803317920947763,0.88324,0.88699317998215,0.88324,0.8829562182685945
albert,naive_baseline,,10,0.2678992950410528,0.2601240058420601,0.892,0.8931703870920051,0.892,0.8919195667144776
albert,causal_subset,,5,0.4550070887048963,0.4430225694639059,0.79144,0.7938757247622334,0.79144,0.7910069516907926
albert,causal_subset,,10,0.4411751806964801,0.4313364214170307,0.79872,0.7990480360780263,0.79872,0.798664787119765
albert,causal_mediation,0.005,5,,0.2378050207368366,0.90408,0.9055073859987156,0.90232,0.9039108831543518
albert,causal_mediation,0.005,10,,0.2222285680770778,0.91264,0.9117834903400928,0.91368,0.9127307600095902
albert,causal_mediation,0.01,5,,0.2161062696373051,0.91436,0.9149242970439798,0.91368,0.9143017251731176
albert,causal_mediation,0.01,10,,0.2043073554472641,0.92032,0.91978267817194,0.92096,0.9203709625839462
albert,causal_mediation,0.025,5,,0.1991847363134973,0.92248,0.9229537081531316,0.92192,0.9224365644761068
albert,causal_mediation,0.025,10,,0.1882181968528036,0.92808,0.9262386490361638,0.93024,0.9282350123732738
albert,causal_mediation,0.05,5,,0.1829567445344956,0.93108,0.928781729927588,0.93376,0.9312642119120756
albert,causal_mediation,0.05,10,,0.1722380769315699,0.93612,0.9320072905935494,0.94088,0.9364226282893428
albert,causal_mediation,0.075,5,,0.1685579443470797,0.93844,0.932933091081444,0.9448,0.93882904725943
albert,causal_mediation,0.075,10,,0.1588211557695312,0.94232,0.9350802644003776,0.95064,0.9427959377975248
albert,causal_mediation,0.1,5,,0.1580745759546716,0.94188,0.9298778115028408,0.95584,0.9426801846226676
albert,causal_mediation,0.1,10,,0.1539283617632314,0.94392,0.9284280420012352,0.962,0.9449159201634448
albert,causal_mediation,0.25,5,,0.1712608285559912,0.93484,0.911624384702764,0.96304,0.9366271153472088
albert,causal_mediation,0.25,10,,0.1924361685466412,0.92324,0.8901836418614942,0.9656,0.9263594151732606
albert,causal_mediation,0.5,5,,0.256815011670571,0.88732,0.8261806912349255,0.98104,0.8969754598983286
