model,experiment_type,lambda_reg,epochs,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
distilbert,causal_subset,,10,0.4144119880926662,0.397876303280112,0.8164,0.8167748586967876,0.8164,0.816345667702333
distilbert,causal_mediation,1.0,5,,0.5783605599395755,0.86188,0.8413704626065958,0.89192,0.8659081200730069
distilbert,causal_mediation,1.0,10,,0.6093993121549554,0.8642,0.8525516920932393,0.88072,0.8664069570692166
distilbert,causal_mediation,0.75,5,,0.4088194231220872,0.86572,0.8505482708381259,0.88736,0.8685642692142046
distilbert,causal_mediation,0.75,10,,0.3897932396125542,0.87068,0.8567798567798568,0.89016,0.873151018166124
distilbert,causal_mediation,0.5,5,,0.3239977561194814,0.87336,0.8642110191977525,0.88592,0.8749308682942245
distilbert,causal_mediation,0.5,10,,0.3134311222771012,0.87524,0.8622287435323192,0.8932,0.8774411568234508
distilbert,causal_mediation,0.25,5,,0.2961703707074945,0.8778,0.872936902787649,0.88432,0.8785915828796248
distilbert,causal_mediation,0.25,10,,0.2904291750037338,0.88072,0.875078814627995,0.88824,0.8816102906145784
distilbert,causal_mediation,0.1,5,,0.2848891217967046,0.88148,0.876688522000158,0.88784,0.8822290234111053
distilbert,causal_mediation,0.1,10,,0.2801582040896809,0.88436,0.8797723500118567,0.8904,0.8850542721959366
distilbert,causal_mediation,0.075,5,,0.2781891290328429,0.88536,0.8795902285263988,0.89296,0.8862246923382294
distilbert,causal_mediation,0.075,10,,0.2733507821442451,0.88776,0.8838295850490973,0.89288,0.8883317414836039
distilbert,causal_mediation,0.05,5,,0.270831074004055,0.88876,0.8844237006565936,0.8944,0.8893838749453085
distilbert,causal_mediation,0.05,10,,0.2670508009913095,0.89148,0.8882805681187019,0.8956,0.8919252678962674
distilbert,causal_mediation,0.025,5,,0.2647556566465848,0.89176,0.8900748765333758,0.89392,0.8919932944839147
distilbert,causal_mediation,0.025,10,,0.2613826818345323,0.89368,0.8912386706948641,0.8968,0.8940106866576282
distilbert,causal_mediation,0.01,5,,0.259387687614613,0.89496,0.8933237731038878,0.89704,0.8951780296982277
distilbert,causal_mediation,0.01,10,,0.2551535925370899,0.89628,0.896438575430172,0.89608,0.89625925185037
distilbert,causal_mediation,0.005,5,,0.2541935501166727,0.89696,0.8938720431814574,0.90088,0.8973623396286556
distilbert,causal_mediation,0.005,10,,0.2497787266366078,0.89948,0.8993841478045269,0.8996,0.8994920609526856
electra_small_discriminator,naive_baseline,,5,0.5618810172997754,0.5186143606634226,0.74048,0.7547657985305963,0.74048,0.7367901773080029
electra_small_discriminator,naive_baseline,,10,0.5502379090928604,0.4998997975848687,0.75596,0.7619161406650534,0.75596,0.7545646608271482
electra_small_discriminator,causal_subset,,5,0.6130992852375435,0.5721057812067766,0.70716,0.707988654754216,0.70716,0.7068680307093524
electra_small_discriminator,causal_subset,,10,0.6088503263199551,0.567530812425104,0.71,0.7117737983601322,0.71,0.7093914722525279
electra_small_discriminator,causal_mediation,1.0,5,,0.6258814265845452,0.71484,0.667289603189435,0.85696,0.750323958953525
electra_small_discriminator,causal_mediation,1.0,10,,0.6522037708942354,0.72928,0.6892748646149782,0.83496,0.7551551986108096
electra_small_discriminator,causal_mediation,0.75,5,,0.5712513310151914,0.73048,0.6841836082342412,0.85616,0.7605713879610546
electra_small_discriminator,causal_mediation,0.75,10,,0.5626999135686279,0.72712,0.6809432759719567,0.85472,0.7579992905285562
electra_small_discriminator,causal_mediation,0.5,5,,0.5265585965288044,0.74568,0.7070802427511801,0.83888,0.767361873399195
electra_small_discriminator,causal_mediation,0.5,10,,0.522894767542642,0.75008,0.7107605177993528,0.84336,0.7714034830967365
electra_small_discriminator,causal_mediation,0.25,5,,0.4980354576025418,0.75984,0.7258064516129032,0.8352,0.7766701383722661
electra_small_discriminator,causal_mediation,0.25,10,,0.4964207372343929,0.76152,0.727773132664437,0.8356,0.7779681215551915
electra_small_discriminator,causal_mediation,0.1,5,,0.4860314030011952,0.76828,0.7390746417623155,0.82936,0.7816187280883627
modern_bert,naive_baseline,,5,0.4902611128599767,0.4790701958388376,0.76932,0.7882206348899661,0.76932,0.7654751428303553
modern_bert,naive_baseline,,10,0.474602030939348,0.4443493838340368,0.79492,0.7950172924548027,0.79492,0.7949030904981604
modern_bert,causal_subset,,5,0.4921556061380426,0.53053579118129,0.73592,0.7751515992941789,0.73592,0.7261588103031316
modern_bert,causal_subset,,10,0.4791332926512985,0.4791659248333784,0.76624,0.7724690344837072,0.76624,0.7648962977040459
modern_bert,causal_mediation,1.0,5,,0.6022096309079166,0.7924,0.8169991326973114,0.7536,0.784019975031211
modern_bert,causal_mediation,1.0,10,,0.6455618028296009,0.79556,0.7997565922920893,0.78856,0.7941188318227593
modern_bert,causal_mediation,0.75,5,,0.4949508346927067,0.8014,0.8063257175380112,0.79336,0.7997903141255696
modern_bert,causal_mediation,0.75,10,,0.4829371884055269,0.80932,0.813356025609855,0.80288,0.808084061355127
modern_bert,causal_mediation,0.5,5,,0.4349961258847593,0.81332,0.8149071319450029,0.8108,0.8128483779123391
modern_bert,causal_mediation,0.5,10,,0.4262565691226656,0.81936,0.8237631792376318,0.81256,0.8181232380185259
modern_bert,causal_mediation,0.25,5,,0.4048717606619658,0.82304,0.8269106217616581,0.81712,0.8219861580556896
modern_bert,causal_mediation,0.25,10,,0.3944960787906642,0.8298,0.835735809104976,0.82096,0.8282820129948747
modern_bert,causal_mediation,0.1,5,,0.3856535459715475,0.83188,0.8377432223398192,0.8232,0.8304079409272486
modern_bert,causal_mediation,0.1,10,,0.3770793693417817,0.83644,0.8418827737582311,0.82848,0.8351276158219426
modern_bert,causal_mediation,0.075,5,,0.3717210565694272,0.83744,0.8429825987965522,0.82936,0.8361158157915961
modern_bert,causal_mediation,0.075,10,,0.3630603997272774,0.84408,0.8483155166828636,0.838,0.843126207340631
modern_bert,causal_mediation,0.05,5,,0.3593298470856466,0.84652,0.8526418627371163,0.83784,0.8451761287979663
modern_bert,causal_mediation,0.05,10,,0.3508041599075419,0.85056,0.855912930474334,0.84304,0.8494276962759955
roberta,naive_baseline,,5,0.3623610471857333,0.2857264756550982,0.88728,0.8888728230833495,0.88728,0.8871644564033571
roberta,naive_baseline,,10,0.3442634541853566,0.2611563135533142,0.89568,0.8969390678595603,0.89568,0.8955972100910023
roberta,causal_subset,,5,0.4482394904374924,0.4075751450706466,0.81656,0.821413176458014,0.81656,0.8158649133224674
roberta,causal_subset,,10,0.4391999054349773,0.4009026389078059,0.81884,0.8258624132116912,0.81884,0.8178587028330352
roberta,causal_mediation,1.0,5,,0.6628562893840035,0.88792,0.901673293571902,0.8708,0.8859677681914374
roberta,causal_mediation,1.0,10,,0.6906318481503888,0.83672,0.764583857178778,0.97304,0.8563080822303576
roberta,causal_mediation,0.75,5,,0.5232977961128672,0.88908,0.8949248883475437,0.88168,0.8882530727382631
roberta,causal_mediation,0.75,10,,0.5382463645073213,0.8918,0.8706015891032917,0.9204,0.8948084775422905
roberta,causal_mediation,0.5,5,,0.3433637356770511,0.89472,0.887832101870775,0.9036,0.8956466576798033
roberta,causal_mediation,0.5,10,,0.3583846852393083,0.89756,0.8810674028065333,0.9192,0.8997298461297522
roberta,causal_mediation,0.25,5,,0.269619508636299,0.89988,0.8911495422177009,0.91104,0.9009850073183274
roberta,causal_mediation,0.25,10,,0.2624873835813928,0.90216,0.8910844873191225,0.91632,0.9035260708369488
roberta,causal_mediation,0.1,5,,0.2491141330243415,0.90288,0.8909330849247011,0.91816,0.9043416594437004
roberta,causal_mediation,0.1,10,,0.2450751550918682,0.90476,0.8943799204926339,0.91792,0.9059970784476292
roberta,causal_mediation,0.075,5,,0.2425323654581707,0.90516,0.8948927875243665,0.91816,0.9063770977295162
roberta,causal_mediation,0.075,10,,0.2401174586507601,0.90556,0.8952210181648086,0.91864,0.90677932641055
roberta,causal_mediation,0.05,5,,0.2378602329893627,0.90612,0.898000784006272,0.91632,0.90706790734508
roberta,causal_mediation,0.05,10,,0.2362402929708132,0.90596,0.8963524174021714,0.91808,0.907086116270798
roberta,causal_mediation,0.025,5,,0.235541432480115,0.9066,0.8974118382985378,0.91816,0.907667365257622
roberta,causal_mediation,0.025,10,,0.233409864346837,0.90716,0.8973378093527988,0.91952,0.9082934924335216
roberta,causal_mediation,0.01,5,,0.2323239452440365,0.9074,0.897572019673667,0.91976,0.9085305622505828
roberta,causal_mediation,0.01,10,,0.2311948170284821,0.90792,0.8979241454658967,0.92048,0.909062179031366
roberta,causal_mediation,0.005,5,,0.2299566938098215,0.90832,0.898376522010615,0.9208,0.9094500632111252
roberta,causal_mediation,0.005,10,,0.2278389298054374,0.90888,0.8989851678376268,0.92128,0.9099960489924932
