model,epochs,train_loss,test_loss,accuracy,precision,recall,f1
modern_bert,5,0.4902611128599767,0.4790701958388376,0.76932,0.7882206348899661,0.76932,0.7654751428303553
modern_bert,10,0.47460203093934805,0.4443493838340368,0.79492,0.7950172924548027,0.79492,0.7949030904981604
