model,epoch,train_loss,val_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
distilbert,1,0.4509907738852028,0,,,,,
distilbert,2,0.3640080778904245,0,,,,,
distilbert,3,0.35453884194409013,0,,,,,
distilbert,4,0.3516236507784878,0.3162909963889785,,,,,
distilbert,5,0.3444882195302293,0,,,,,
distilbert,6,0.34293173657288095,0,,,,,
distilbert,7,0.33900514507209806,0,,,,,
distilbert,8,0.3370921654639836,0.3103733440302193,,,,,
distilbert,9,0.33734619304757046,0,,,,,
distilbert,10,0.33615287202180993,0,,,,,
distilbert,11,0.33640386446147336,0,,,,,
distilbert,12,0.3373426513761873,0.30848432229432593,,,,,
distilbert,13,0.3335217330616709,0,,,,,
distilbert,14,0.3366437547471343,0,,,,,
distilbert,15,0.33345200189806984,0,,,,,
distilbert,16,0.3338344338816553,0.3084714655151861,,,,,
distilbert,17,0.33246537968659357,0,,,,,
distilbert,18,0.33462230875249177,0,,,,,
distilbert,19,0.33263179365729034,0,,,,,
distilbert,20,0.3339654213045167,0.30748501388142774,,,,,
distilbert,final_test,,,0.30748501388142774,0.8688,0.8689101559823201,0.8688,0.8687902052413052
roberta,1,0.530764951124568,0,,,,,
roberta,2,0.3662305274788798,0,,,,,
roberta,3,0.3439685757786169,0,,,,,
roberta,4,0.3438561695079085,0.2524148971724228,,,,,
roberta,5,0.3393842817253778,0,,,,,
roberta,6,0.3341585962400937,0,,,,,
roberta,7,0.3342450102523055,0,,,,,
roberta,8,0.33369293308418224,0.24861997512412887,,,,,
roberta,9,0.33131158055638704,0,,,,,
roberta,10,0.33327037752656624,0,,,,,
roberta,11,0.33264214176772805,0,,,,,
roberta,12,0.32688843188849076,0.2461004696210807,,,,,
roberta,13,0.3257771047786765,0,,,,,
roberta,14,0.32589086476935075,0,,,,,
roberta,15,0.32814803177530155,0,,,,,
roberta,16,0.32528251421447757,0.24559873610112867,,,,,
roberta,17,0.32831576822405434,0,,,,,
roberta,18,0.3321537652403898,0,,,,,
roberta,19,0.32696871179431886,0,,,,,
roberta,20,0.3273873433818706,0.24582392242942686,,,,,
roberta,final_test,,,0.24582392242942686,0.89996,0.9004056072360748,0.89996,0.8999321588850822
roberta_large,1,0.5382071141146424,0,,,,,
roberta_large,2,0.3926005903548029,0,,,,,
roberta_large,3,0.37607503982686263,0,,,,,
roberta_large,4,0.36869351253609434,0.2701524241767247,,,,,
roberta_large,5,0.3577654251849049,0,,,,,
roberta_large,6,0.3591184609153106,0,,,,,
roberta_large,7,0.3524950867183912,0,,,,,
roberta_large,8,0.3539292525836122,0.24863381095716797,,,,,
roberta_large,9,0.3469921076981326,0,,,,,
roberta_large,10,0.3506567569226694,0,,,,,
roberta_large,11,0.3437657615173458,0,,,,,
roberta_large,12,0.3535900463231542,0.2544313427668615,,,,,
roberta_large,13,0.3511047711356359,0,,,,,
roberta_large,14,0.34857145399903916,0,,,,,
roberta_large,15,0.34513286344339966,0,,,,,
roberta_large,16,0.34821190229799986,0.25144031612167966,,,,,
roberta_large,17,0.35009382290006524,0,,,,,
roberta_large,18,0.3411689510524883,0,,,,,
roberta_large,19,0.3466853399380269,0,,,,,
roberta_large,20,0.3474106834158635,0.2520633993142416,,,,,
roberta_large,final_test,,,0.2520633993142416,0.90808,0.910552247099494,0.90808,0.9079414113182548
