model_name,lr_schedule,lambda_schedule_mode,base_lr,epoch,train_loss,lambda_value,test_loss,accuracy,precision,recall,f1
electra_small_discriminator,cyclic_triangular,piecewise,0.0005,1,0.7122665062136782,1.0,,,,,
electra_small_discriminator,cyclic_triangular,piecewise,0.0005,2,0.702734496947366,1.0,,,,,
electra_small_discriminator,cyclic_triangular,piecewise,0.0005,3,0.6825479390296277,0.75,,,,,
electra_small_discriminator,cyclic_triangular,piecewise,0.0005,4,0.6801355709956384,0.75,0.5554452830888641,0.72328,0.6725182346396341,0.8704,0.758769788688193
electra_small_discriminator,cyclic_triangular,piecewise,0.0005,5,0.6365935808179932,0.5,,,,,
electra_small_discriminator,cyclic_triangular,piecewise,0.0005,6,0.6378184415862412,0.5,,,,,
electra_small_discriminator,cyclic_triangular,piecewise,0.0005,7,0.5941877285219963,0.25,,,,,
electra_small_discriminator,cyclic_triangular,piecewise,0.0005,8,0.6102306847380128,0.25,0.5063242282830441,0.74936,0.7065332626557116,0.85304,0.7729051899101189
electra_small_discriminator,cyclic_triangular,piecewise,0.0005,9,0.5619909982992454,0.1,,,,,
electra_small_discriminator,cyclic_triangular,piecewise,0.0005,10,0.5707959601189643,0.1,,,,,
electra_small_discriminator,cyclic_triangular,piecewise,0.0005,11,0.5553023405778278,0.075,,,,,
electra_small_discriminator,cyclic_triangular,piecewise,0.0005,12,0.5566115172452372,0.075,0.49302891357751205,0.75588,0.7195414922094859,0.83864,0.7745391407144705
electra_small_discriminator,cyclic_triangular,piecewise,0.0005,13,0.5550146143423466,0.05,,,,,
electra_small_discriminator,cyclic_triangular,piecewise,0.0005,14,0.5612064942441075,0.05,,,,,
electra_small_discriminator,cyclic_triangular,piecewise,0.0005,15,0.5486177799225769,0.025,,,,,
electra_small_discriminator,cyclic_triangular,piecewise,0.0005,16,0.5548273969348699,0.025,0.4886709663657065,0.75812,0.7203141003755548,0.84392,0.7772333763123963
electra_small_discriminator,cyclic_triangular,piecewise,0.0005,17,0.5454276215358949,0.01,,,,,
electra_small_discriminator,cyclic_triangular,piecewise,0.0005,18,0.5476445345469033,0.01,,,,,
electra_small_discriminator,cyclic_triangular,piecewise,0.0005,19,0.5392218454099205,0.005,,,,,
electra_small_discriminator,cyclic_triangular,piecewise,0.0005,20,0.5420231315201852,0.005,0.4952515512466507,0.75648,0.7184816682567807,0.84344,0.7759623169205859
electra_small_discriminator,cyclic_triangular,piecewise,0.0005,causal_mediation,,,0.4952515512466507,0.75648,0.7184816682567807,0.84344,0.7759623169205859
modern_bert,cyclic_triangular,piecewise,0.0005,1,0.8604585242744295,1.0,,,,,
modern_bert,cyclic_triangular,piecewise,0.0005,2,0.7749898383156734,1.0,,,,,
modern_bert,cyclic_triangular,piecewise,0.0005,3,0.6789521364470132,0.75,,,,,
modern_bert,cyclic_triangular,piecewise,0.0005,4,0.6751269034598015,0.75,0.4568750003563694,0.79752,0.7959102482495226,0.80024,0.7980692516355514
modern_bert,cyclic_triangular,piecewise,0.0005,5,0.5916943318631812,0.5,,,,,
modern_bert,cyclic_triangular,piecewise,0.0005,6,0.6573616024094824,0.5,,,,,
modern_bert,cyclic_triangular,piecewise,0.0005,7,0.5842707672717093,0.25,,,,,
modern_bert,cyclic_triangular,piecewise,0.0005,8,0.6520240738921187,0.25,0.438668915216578,0.8,0.7982344520439001,0.80296,0.8005902528515594
modern_bert,cyclic_triangular,piecewise,0.0005,9,0.611211586641106,0.1,,,,,
modern_bert,cyclic_triangular,piecewise,0.0005,10,0.4927530043680395,0.1,,,,,
modern_bert,cyclic_triangular,piecewise,0.0005,11,1.479519773763262,0.075,,,,,
modern_bert,cyclic_triangular,piecewise,0.0005,12,0.5329149610345667,0.075,0.42843662333446514,0.80196,0.8098678269436007,0.7892,0.7994003484461732
modern_bert,cyclic_triangular,piecewise,0.0005,13,0.7860805331440363,0.05,,,,,
modern_bert,cyclic_triangular,piecewise,0.0005,14,0.5908403084187346,0.05,,,,,
modern_bert,cyclic_triangular,piecewise,0.0005,15,0.5186362703088302,0.025,,,,,
modern_bert,cyclic_triangular,piecewise,0.0005,16,0.4537166948129333,0.025,0.4305521837547088,0.8018,0.8002387584560287,0.8044,0.8023139836425294
modern_bert,cyclic_triangular,piecewise,0.0005,17,0.4413092035802602,0.01,,,,,
modern_bert,cyclic_triangular,piecewise,0.0005,18,0.4429917091972082,0.01,,,,,
modern_bert,cyclic_triangular,piecewise,0.0005,19,0.44148206225550485,0.005,,,,,
modern_bert,cyclic_triangular,piecewise,0.0005,20,0.44876634338614424,0.005,0.429962088324735,0.80228,0.8100434889636497,0.78976,0.7997731599627335
modern_bert,cyclic_triangular,piecewise,0.0005,causal_mediation,,,0.429962088324735,0.80228,0.8100434889636497,0.78976,0.7997731599627335
