model_name,lr_schedule,lambda_schedule_mode,base_lr,epoch,train_loss,lambda_value,test_loss,accuracy,precision,recall,f1
albert,cyclic_triangular,piecewise,0.0005,1,1.5933180471032533,1.0,,,,,
albert,cyclic_triangular,piecewise,0.0005,2,1.5855146378030855,1.0,,,,,
albert,cyclic_triangular,piecewise,0.0005,3,0.682145738117373,0.75,,,,,
albert,cyclic_triangular,piecewise,0.0005,4,0.5525870314791503,0.75,0.33999667659173083,0.88592,0.8995361934735796,0.86888,0.8839423781232196
albert,cyclic_triangular,piecewise,0.0005,5,0.4456476296702792,0.5,,,,,
albert,cyclic_triangular,piecewise,0.0005,6,0.5156328465148415,0.5,,,,,
albert,cyclic_triangular,piecewise,0.0005,7,0.6130954274003199,0.25,,,,,
albert,cyclic_triangular,piecewise,0.0005,8,0.5081779917729489,0.25,0.2572843089827258,0.89328,0.8780375269147954,0.91344,0.8953889585947303
albert,cyclic_triangular,piecewise,0.0005,9,0.4689074636449512,0.1,,,,,
albert,cyclic_triangular,piecewise,0.0005,10,0.4315671975070745,0.1,,,,,
albert,cyclic_triangular,piecewise,0.0005,11,0.42758695164877714,0.075,,,,,
albert,cyclic_triangular,piecewise,0.0005,12,0.3794922159266106,0.075,0.2593628394620652,0.89352,0.8814952691174189,0.90928,0.8951720878947782
albert,cyclic_triangular,piecewise,0.0005,13,0.37572082633334936,0.05,,,,,
albert,cyclic_triangular,piecewise,0.0005,14,0.40643223148180135,0.05,,,,,
albert,cyclic_triangular,piecewise,0.0005,15,0.3388589400695595,0.025,,,,,
albert,cyclic_triangular,piecewise,0.0005,16,0.8763103822552464,0.025,0.3953940049728458,0.80508,0.733398616806414,0.95864,0.831027428135511
albert,cyclic_triangular,piecewise,0.0005,17,0.27265105729235034,0.01,,,,,
albert,cyclic_triangular,piecewise,0.0005,18,0.25294873278566604,0.01,,,,,
albert,cyclic_triangular,piecewise,0.0005,19,0.2448164307305581,0.005,,,,,
albert,cyclic_triangular,piecewise,0.0005,20,0.38767187212256005,0.005,0.26196685383157114,0.89268,0.872166199105315,0.92024,0.8955584102144886
albert,cyclic_triangular,piecewise,0.0005,causal_mediation,,,0.26196685383157114,0.89268,0.872166199105315,0.92024,0.8955584102144886
bert,cyclic_triangular,piecewise,0.0005,1,0.9153817717989362,1.0,,,,,
bert,cyclic_triangular,piecewise,0.0005,2,0.7069664746999588,1.0,,,,,
bert,cyclic_triangular,piecewise,0.0005,3,0.6069629277964852,0.75,,,,,
bert,cyclic_triangular,piecewise,0.0005,4,0.5988602391894018,0.75,0.3365284028920087,0.86552,0.8628494282083863,0.8692,0.8660130718954248
bert,cyclic_triangular,piecewise,0.0005,5,0.5190315833476135,0.5,,,,,
bert,cyclic_triangular,piecewise,0.0005,6,0.5259077870552157,0.5,,,,,
bert,cyclic_triangular,piecewise,0.0005,7,0.43245112996069346,0.25,,,,,
bert,cyclic_triangular,piecewise,0.0005,8,0.43552724137110965,0.25,0.3108650838583231,0.8658,0.8465853103918745,0.89352,0.8694196862958783
bert,cyclic_triangular,piecewise,0.0005,9,0.37287595278928465,0.1,,,,,
bert,cyclic_triangular,piecewise,0.0005,10,0.39042674763436813,0.1,,,,,
bert,cyclic_triangular,piecewise,0.0005,11,0.36006155913732635,0.075,,,,,
bert,cyclic_triangular,piecewise,0.0005,12,0.37440951350630663,0.075,0.30677448978358,0.86868,0.8587218805946913,0.88256,0.8704777685722177
bert,cyclic_triangular,piecewise,0.0005,13,0.3486326570817468,0.05,,,,,
bert,cyclic_triangular,piecewise,0.0005,14,0.3602066436020976,0.05,,,,,
bert,cyclic_triangular,piecewise,0.0005,15,0.33531741649198443,0.025,,,,,
bert,cyclic_triangular,piecewise,0.0005,16,0.3436382762272619,0.025,0.3089226298808804,0.86804,0.8593859854698852,0.88008,0.869609896842022
bert,cyclic_triangular,piecewise,0.0005,17,0.3296164662832834,0.01,,,,,
bert,cyclic_triangular,piecewise,0.0005,18,0.3227421616300016,0.01,,,,,
bert,cyclic_triangular,piecewise,0.0005,19,0.3192574827671432,0.005,,,,,
bert,cyclic_triangular,piecewise,0.0005,20,0.3263588412947862,0.005,0.3094806007174531,0.86624,0.8475554205891285,0.89312,0.8697413524462451
bert,cyclic_triangular,piecewise,0.0005,causal_mediation,,,0.3094806007174531,0.86624,0.8475554205891285,0.89312,0.8697413524462451
