model_name,lr_schedule,lambda_schedule_mode,base_lr,epoch,train_loss,lambda_value,test_loss,accuracy,precision,recall,f1
albert,one_cycle,piecewise,0.0005,1,0.6864817332111713,1.0,,,,,
albert,one_cycle,piecewise,0.0005,2,0.6001409029472508,1.0,,,,,
albert,one_cycle,piecewise,0.0005,3,0.5217386024622145,0.75,,,,,
albert,one_cycle,piecewise,0.0005,4,0.5100712612967269,0.75,0.2842584938628412,0.88288,0.9180642907058001,0.8408,0.8777350927008518
albert,one_cycle,piecewise,0.0005,5,0.47295135359732066,0.5,,,,,
albert,one_cycle,piecewise,0.0005,6,0.4438051489191946,0.5,,,,,
albert,one_cycle,piecewise,0.0005,7,0.4054899336108777,0.25,,,,,
albert,one_cycle,piecewise,0.0005,8,0.35193007297799594,0.25,0.25455690960930716,0.89452,0.8906138613861386,0.89952,0.895044776119403
albert,one_cycle,piecewise,0.0005,9,0.3136724721895375,0.1,,,,,
albert,one_cycle,piecewise,0.0005,10,0.2997366422340417,0.1,,,,,
albert,one_cycle,piecewise,0.0005,11,0.28631950085428537,0.075,,,,,
albert,one_cycle,piecewise,0.0005,12,0.28989159226446143,0.075,0.25028040919688865,0.89596,0.8922260084000317,0.90072,0.8964528842708706
albert,one_cycle,piecewise,0.0005,13,0.2876894430603572,0.05,,,,,
albert,one_cycle,piecewise,0.0005,14,0.2988547860398669,0.05,,,,,
albert,one_cycle,piecewise,0.0005,15,0.264985882622915,0.025,,,,,
albert,one_cycle,piecewise,0.0005,16,0.2705126252699875,0.025,0.25014592171959477,0.89736,0.8961556867123943,0.89888,0.8975157760204489
albert,one_cycle,piecewise,0.0005,17,0.23986903357933861,0.01,,,,,
albert,one_cycle,piecewise,0.0005,18,0.23712289042685059,0.01,,,,,
albert,one_cycle,piecewise,0.0005,19,0.2275676336413534,0.005,,,,,
albert,one_cycle,piecewise,0.0005,20,0.22649864906174627,0.005,0.24972744076259515,0.89712,0.8957901451124223,0.8988,0.8972925485184889
albert,one_cycle,piecewise,0.0005,final_test,,,0.24972744076259515,0.89712,0.8957901451124223,0.8988,0.8972925485184889
albert,one_cycle,piecewise,0.00025,1,1.37609095521562,1.0,,,,,
albert,one_cycle,piecewise,0.00025,2,0.8986556840415804,1.0,,,,,
albert,one_cycle,piecewise,0.00025,3,0.5607344342284835,0.75,,,,,
albert,one_cycle,piecewise,0.00025,4,0.488813565230034,0.75,0.2687943366285287,0.89412,0.9008869720888599,0.88568,0.8932187663883174
albert,one_cycle,piecewise,0.00025,5,0.40203686610045375,0.5,,,,,
albert,one_cycle,piecewise,0.00025,6,0.47022432769557565,0.5,,,,,
albert,one_cycle,piecewise,0.00025,7,0.4548032086530864,0.25,,,,,
albert,one_cycle,piecewise,0.00025,8,0.42107414200148824,0.25,0.2653737234053579,0.89044,0.8707741396338221,0.91696,0.8932704672096013
albert,one_cycle,piecewise,0.00025,9,0.42369587741367953,0.1,,,,,
albert,one_cycle,piecewise,0.00025,10,0.48424201315687165,0.1,,,,,
albert,one_cycle,piecewise,0.00025,11,0.45815951953941786,0.075,,,,,
albert,one_cycle,piecewise,0.00025,12,0.49495599613842567,0.075,0.2818594458700656,0.8836,0.87548942834769,0.8944,0.8848436881677879
albert,one_cycle,piecewise,0.00025,13,0.3917605978623271,0.05,,,,,
albert,one_cycle,piecewise,0.00025,14,0.37917971534276723,0.05,,,,,
albert,one_cycle,piecewise,0.00025,15,0.5078111260018704,0.025,,,,,
albert,one_cycle,piecewise,0.00025,16,0.5011213493157447,0.025,0.2717305627369673,0.89156,0.8837318698549589,0.90176,0.8926549198178578
albert,one_cycle,piecewise,0.00025,17,0.4456308696190192,0.01,,,,,
albert,one_cycle,piecewise,0.00025,18,0.3198066317820141,0.01,,,,,
albert,one_cycle,piecewise,0.00025,19,0.26123954457727216,0.005,,,,,
albert,one_cycle,piecewise,0.00025,20,0.2581692556454368,0.005,0.2693536703844846,0.89312,0.89086859688196,0.896,0.8934269304403318
albert,one_cycle,piecewise,0.00025,final_test,,,0.2693536703844846,0.89312,0.89086859688196,0.896,0.8934269304403318
albert,one_cycle,piecewise,0.0001,1,6.96284024744406,1.0,,,,,
albert,one_cycle,piecewise,0.0001,2,6.81959423855643,1.0,,,,,
albert,one_cycle,piecewise,0.0001,3,1.8165053785686225,0.75,,,,,
albert,one_cycle,piecewise,0.0001,4,2.8059065530335223,0.75,0.8957795539405495,0.60156,0.5575972052084751,0.9832,0.7116180770678324
