model_name,lr_schedule,lambda_schedule_mode,base_lr,epoch,train_loss,lambda_value,test_loss,accuracy,precision,recall,f1
albert,cosine_warm_restarts,piecewise,5e-05,1,0.6820460851575347,1.0,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,2,0.6659675988720841,1.0,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,3,0.5943416323863155,1.0,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,4,0.7079092933249946,1.0,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,5,0.6404091525901531,1.0,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,6,0.614461250569831,1.0,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,7,0.5773668307870607,1.0,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,8,0.5680119376379331,1.0,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,9,0.5785371101177128,1.0,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,10,0.5890987909953714,1.0,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,11,0.510113132520509,0.75,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,12,0.5482585682025416,0.75,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,13,0.6807786882571967,0.75,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,14,0.6091701429163273,0.75,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,15,0.6062848187854332,0.75,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,16,0.6337443105089916,0.75,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,17,0.6762639138649765,0.75,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,18,0.6422414199537905,0.75,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,19,0.6270033312736226,0.75,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,20,0.628700059524577,0.75,0.2652354650104076,0.88808,0.8536229771103659,0.9368,0.8932794263483104
albert,cosine_warm_restarts,piecewise,5e-05,21,0.6330924670015934,0.5,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,22,0.46321962327623095,0.5,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,23,0.5177259158416962,0.5,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,24,0.4637291524285166,0.5,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,25,0.6752221441886704,0.5,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,26,0.4872490474412019,0.5,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,27,0.4689389565817759,0.5,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,28,0.5702788117636646,0.5,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,29,0.5837139692240927,0.5,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,30,0.5731256730516066,0.5,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,31,0.4558113603468362,0.25,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,32,0.5337493628149069,0.25,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,33,0.42043272795790826,0.25,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,34,0.4591211793957348,0.25,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,35,0.4350742742714787,0.25,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,36,0.5264745709591773,0.25,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,37,0.43849340983102203,0.25,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,38,0.5757968468366338,0.25,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,39,0.4925968107491522,0.25,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,40,0.4923970773911446,0.25,0.28135829914321914,0.88268,0.8396166134185303,0.94608,0.8896746285499342
albert,cosine_warm_restarts,piecewise,5e-05,41,0.3678051029270609,0.1,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,42,0.3678646660931242,0.1,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,43,0.4222447336225348,0.1,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,44,0.3268034388040093,0.1,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,45,0.3365057876723284,0.1,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,46,0.29004260888102723,0.1,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,47,0.3372361047583098,0.1,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,48,0.37465547315981323,0.1,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,49,0.3840864477530169,0.1,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,50,0.3804846027400047,0.1,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,51,0.37152432889861703,0.075,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,52,0.3672595173621018,0.075,,,,,
albert,cosine_warm_restarts,piecewise,5e-05,53,0.4395319102183032,0.075,,,,,
