model_name,lr_schedule,lambda_schedule_mode,base_lr,epoch,train_loss,lambda_value,test_loss,accuracy,precision,recall,f1
albert,cyclic_triangular,piecewise,5e-05,1,0.6773346400821506,1.0,,,,,
albert,cyclic_triangular,piecewise,5e-05,2,0.612195352493992,1.0,,,,,
albert,cyclic_triangular,piecewise,5e-05,3,0.685547026738248,1.0,,,,,
albert,cyclic_triangular,piecewise,5e-05,4,0.6102572319146081,1.0,,,,,
albert,cyclic_triangular,piecewise,5e-05,5,0.6217673951837396,1.0,,,,,
albert,cyclic_triangular,piecewise,5e-05,6,0.5974267217034495,1.0,,,,,
albert,cyclic_triangular,piecewise,5e-05,7,0.6030915503652906,1.0,,,,,
albert,cyclic_triangular,piecewise,5e-05,8,0.6855418322106165,1.0,,,,,
albert,cyclic_triangular,piecewise,5e-05,9,0.6026014460826332,1.0,,,,,
albert,cyclic_triangular,piecewise,5e-05,10,0.5934017356663885,1.0,,,,,
albert,cyclic_triangular,piecewise,5e-05,11,0.5108075119407224,0.75,,,,,
albert,cyclic_triangular,piecewise,5e-05,12,0.5411617593817122,0.75,,,,,
albert,cyclic_triangular,piecewise,5e-05,13,0.5227456083968138,0.75,,,,,
albert,cyclic_triangular,piecewise,5e-05,14,0.5078733616907171,0.75,,,,,
albert,cyclic_triangular,piecewise,5e-05,15,0.5041345042425016,0.75,,,,,
albert,cyclic_triangular,piecewise,5e-05,16,0.5288931085601192,0.75,,,,,
albert,cyclic_triangular,piecewise,5e-05,17,0.5431257583205699,0.75,,,,,
albert,cyclic_triangular,piecewise,5e-05,18,0.5687905491275507,0.75,,,,,
albert,cyclic_triangular,piecewise,5e-05,19,0.5298527252174537,0.75,,,,,
albert,cyclic_triangular,piecewise,5e-05,20,0.6407384208891533,0.75,0.25858806127054296,0.89184,0.8665618919323455,0.92632,0.8954450545201454
albert,cyclic_triangular,piecewise,5e-05,21,0.5311203013607423,0.5,,,,,
albert,cyclic_triangular,piecewise,5e-05,22,0.5638553551276068,0.5,,,,,
albert,cyclic_triangular,piecewise,5e-05,23,0.6227330681191601,0.5,,,,,
albert,cyclic_triangular,piecewise,5e-05,24,0.5397029262434117,0.5,,,,,
albert,cyclic_triangular,piecewise,5e-05,25,0.5963273602403744,0.5,,,,,
albert,cyclic_triangular,piecewise,5e-05,26,0.49296717315206756,0.5,,,,,
albert,cyclic_triangular,piecewise,5e-05,27,0.49974652312538675,0.5,,,,,
albert,cyclic_triangular,piecewise,5e-05,28,0.5263886461826905,0.5,,,,,
albert,cyclic_triangular,piecewise,5e-05,29,0.4763180014325195,0.5,,,,,
