model_name,lr_schedule,lambda_schedule_mode,base_lr,epoch,train_loss,lambda_value,test_loss,accuracy,precision,recall,f1
albert,cyclic_triangular2,piecewise,5e-05,1,0.6795882054116584,1.0,,,,,
albert,cyclic_triangular2,piecewise,5e-05,2,0.6864443730255464,1.0,,,,,
albert,cyclic_triangular2,piecewise,5e-05,3,0.6203522025318536,1.0,,,,,
albert,cyclic_triangular2,piecewise,5e-05,4,0.606142748016161,1.0,,,,,
albert,cyclic_triangular2,piecewise,5e-05,5,0.7321022247474924,1.0,,,,,
albert,cyclic_triangular2,piecewise,5e-05,6,0.6330931195637696,1.0,,,,,
albert,cyclic_triangular2,piecewise,5e-05,7,0.6307838568493714,1.0,,,,,
albert,cyclic_triangular2,piecewise,5e-05,8,0.5942887060739868,1.0,,,,,
albert,cyclic_triangular2,piecewise,5e-05,9,0.5596265121102715,1.0,,,,,
albert,cyclic_triangular2,piecewise,5e-05,10,0.5518656160231973,1.0,,,,,
albert,cyclic_triangular2,piecewise,5e-05,11,0.48567955610619395,0.75,,,,,
albert,cyclic_triangular2,piecewise,5e-05,12,0.4949685366048465,0.75,,,,,
albert,cyclic_triangular2,piecewise,5e-05,13,0.5092865872558537,0.75,,,,,
albert,cyclic_triangular2,piecewise,5e-05,14,0.5159709709276393,0.75,,,,,
albert,cyclic_triangular2,piecewise,5e-05,15,0.5884561951886517,0.75,,,,,
albert,cyclic_triangular2,piecewise,5e-05,16,0.6031161522300901,0.75,,,,,
albert,cyclic_triangular2,piecewise,5e-05,17,0.5244508559457476,0.75,,,,,
albert,cyclic_triangular2,piecewise,5e-05,18,0.5977190799310431,0.75,,,,,
albert,cyclic_triangular2,piecewise,5e-05,19,0.6019533937052131,0.75,,,,,
albert,cyclic_triangular2,piecewise,5e-05,20,0.6494298855120451,0.75,0.25837438844945176,0.8926,0.8689017514846276,0.92472,0.8959423322869434
albert,cyclic_triangular2,piecewise,5e-05,21,0.4834991679958861,0.5,,,,,
albert,cyclic_triangular2,piecewise,5e-05,22,0.48783580830138384,0.5,,,,,
albert,cyclic_triangular2,piecewise,5e-05,23,0.48226676429416304,0.5,,,,,
albert,cyclic_triangular2,piecewise,5e-05,24,0.4723141573021523,0.5,,,,,
albert,cyclic_triangular2,piecewise,5e-05,25,0.45682167216553876,0.5,,,,,
albert,cyclic_triangular2,piecewise,5e-05,26,0.4833210132496523,0.5,,,,,
albert,cyclic_triangular2,piecewise,5e-05,27,0.5549241765065599,0.5,,,,,
albert,cyclic_triangular2,piecewise,5e-05,28,0.4842315649593479,0.5,,,,,
albert,cyclic_triangular2,piecewise,5e-05,29,0.5110416497394051,0.5,,,,,
albert,cyclic_triangular2,piecewise,5e-05,30,0.5142934101556862,0.5,,,,,
albert,cyclic_triangular2,piecewise,5e-05,31,0.3840765806960129,0.25,,,,,
albert,cyclic_triangular2,piecewise,5e-05,32,0.37371596570054616,0.25,,,,,
albert,cyclic_triangular2,piecewise,5e-05,33,0.3789745440857958,0.25,,,,,
albert,cyclic_triangular2,piecewise,5e-05,34,0.39663394583926626,0.25,,,,,
albert,cyclic_triangular2,piecewise,5e-05,35,0.3872012784102752,0.25,,,,,
albert,cyclic_triangular2,piecewise,5e-05,36,0.387312460388042,0.25,,,,,
albert,cyclic_triangular2,piecewise,5e-05,37,0.41319967956018233,0.25,,,,,
albert,cyclic_triangular2,piecewise,5e-05,38,0.3947014659071152,0.25,,,,,
albert,cyclic_triangular2,piecewise,5e-05,39,0.40581743398196257,0.25,,,,,
albert,cyclic_triangular2,piecewise,5e-05,40,0.40891697090440887,0.25,0.24764979529294043,0.89728,0.8824707332101047,0.91664,0.8992308899701773
albert,cyclic_triangular2,piecewise,5e-05,41,0.3044196129016821,0.1,,,,,
albert,cyclic_triangular2,piecewise,5e-05,42,0.30377202235062156,0.1,,,,,
albert,cyclic_triangular2,piecewise,5e-05,43,0.3013658041869763,0.1,,,,,
albert,cyclic_triangular2,piecewise,5e-05,44,0.3054058108328629,0.1,,,,,
albert,cyclic_triangular2,piecewise,5e-05,45,0.30544934069031104,0.1,,,,,
albert,cyclic_triangular2,piecewise,5e-05,46,0.30115648312345195,0.1,,,,,
albert,cyclic_triangular2,piecewise,5e-05,47,0.3145572714846026,0.1,,,,,
albert,cyclic_triangular2,piecewise,5e-05,48,0.30085491528228087,0.1,,,,,
albert,cyclic_triangular2,piecewise,5e-05,49,0.30992324963469425,0.1,,,,,
albert,cyclic_triangular2,piecewise,5e-05,50,0.3061894692351859,0.1,,,,,
albert,cyclic_triangular2,piecewise,5e-05,51,0.28823212427888556,0.075,,,,,
albert,cyclic_triangular2,piecewise,5e-05,52,0.2886180859857542,0.075,,,,,
albert,cyclic_triangular2,piecewise,5e-05,53,0.2869746063788846,0.075,,,,,
albert,cyclic_triangular2,piecewise,5e-05,54,0.29072262071697513,0.075,,,,,
albert,cyclic_triangular2,piecewise,5e-05,55,0.28686014842897445,0.075,,,,,
albert,cyclic_triangular2,piecewise,5e-05,56,0.2897684743040392,0.075,,,,,
albert,cyclic_triangular2,piecewise,5e-05,57,0.29027112890857193,0.075,,,,,
albert,cyclic_triangular2,piecewise,5e-05,58,0.2920460855577591,0.075,,,,,
albert,cyclic_triangular2,piecewise,5e-05,59,0.2910484828612626,0.075,,,,,
albert,cyclic_triangular2,piecewise,5e-05,60,0.2927861894914071,0.075,0.24384668420151745,0.89932,0.8975706889685384,0.90152,0.8995410097784873
albert,cyclic_triangular2,piecewise,5e-05,61,0.27248296144246215,0.05,,,,,
albert,cyclic_triangular2,piecewise,5e-05,62,0.2709438546715031,0.05,,,,,
albert,cyclic_triangular2,piecewise,5e-05,63,0.27023869349608726,0.05,,,,,
albert,cyclic_triangular2,piecewise,5e-05,64,0.27506079122910343,0.05,,,,,
albert,cyclic_triangular2,piecewise,5e-05,65,0.270724666715431,0.05,,,,,
albert,cyclic_triangular2,piecewise,5e-05,66,0.27041582556552257,0.05,,,,,
albert,cyclic_triangular2,piecewise,5e-05,67,0.27319767572085824,0.05,,,,,
albert,cyclic_triangular2,piecewise,5e-05,68,0.27455679133000543,0.05,,,,,
albert,cyclic_triangular2,piecewise,5e-05,69,0.27107378280580385,0.05,,,,,
albert,cyclic_triangular2,piecewise,5e-05,70,0.2736048545790878,0.05,,,,,
albert,cyclic_triangular2,piecewise,5e-05,71,0.256435095179428,0.025,,,,,
albert,cyclic_triangular2,piecewise,5e-05,72,0.25409128905172085,0.025,,,,,
albert,cyclic_triangular2,piecewise,5e-05,73,0.2522343149169164,0.025,,,,,
albert,cyclic_triangular2,piecewise,5e-05,74,0.2514376537927968,0.025,,,,,
albert,cyclic_triangular2,piecewise,5e-05,75,0.2554806620645279,0.025,,,,,
albert,cyclic_triangular2,piecewise,5e-05,76,0.25068996253441866,0.025,,,,,
albert,cyclic_triangular2,piecewise,5e-05,77,0.2541769848813518,0.025,,,,,
albert,cyclic_triangular2,piecewise,5e-05,78,0.25589287682404827,0.025,,,,,
albert,cyclic_triangular2,piecewise,5e-05,79,0.2560343394462336,0.025,,,,,
albert,cyclic_triangular2,piecewise,5e-05,80,0.25423790592883766,0.025,0.2436377284398883,0.89856,0.8972886762360447,0.90016,0.8987220447284344
albert,cyclic_triangular2,piecewise,5e-05,81,0.24201635707358063,0.01,,,,,
albert,cyclic_triangular2,piecewise,5e-05,82,0.24134174290322297,0.01,,,,,
albert,cyclic_triangular2,piecewise,5e-05,83,0.24331848164370865,0.01,,,,,
albert,cyclic_triangular2,piecewise,5e-05,84,0.24237231737132628,0.01,,,,,
albert,cyclic_triangular2,piecewise,5e-05,85,0.24093952529270604,0.01,,,,,
albert,cyclic_triangular2,piecewise,5e-05,86,0.24088205252097764,0.01,,,,,
albert,cyclic_triangular2,piecewise,5e-05,87,0.2429863246311496,0.01,,,,,
albert,cyclic_triangular2,piecewise,5e-05,88,0.24032351995031193,0.01,,,,,
albert,cyclic_triangular2,piecewise,5e-05,89,0.24404589866150364,0.01,,,,,
albert,cyclic_triangular2,piecewise,5e-05,90,0.24138824724170999,0.01,,,,,
albert,cyclic_triangular2,piecewise,5e-05,91,0.23886317350518527,0.005,,,,,
albert,cyclic_triangular2,piecewise,5e-05,92,0.2368402736248378,0.005,,,,,
albert,cyclic_triangular2,piecewise,5e-05,93,0.23839200188430243,0.005,,,,,
albert,cyclic_triangular2,piecewise,5e-05,94,0.23642685359447566,0.005,,,,,
albert,cyclic_triangular2,piecewise,5e-05,95,0.23628147379736525,0.005,,,,,
albert,cyclic_triangular2,piecewise,5e-05,96,0.23643596147282986,0.005,,,,,
albert,cyclic_triangular2,piecewise,5e-05,97,0.23708847744637052,0.005,,,,,
albert,cyclic_triangular2,piecewise,5e-05,98,0.23510936776239255,0.005,,,,,
albert,cyclic_triangular2,piecewise,5e-05,99,0.2355732841682945,0.005,,,,,
albert,cyclic_triangular2,piecewise,5e-05,100,0.23585853926236822,0.005,0.24360088784586084,0.89968,0.9016077170418006,0.89728,0.8994386527666399
albert,cyclic_triangular2,piecewise,5e-05,final_test,,,0.24360088784586084,0.89968,0.9016077170418006,0.89728,0.8994386527666399
