model_name,lr_schedule,lambda_schedule_mode,base_lr,epoch,train_loss,lambda_value,test_loss,accuracy,precision,recall,f1
distilbert,cyclic_triangular,piecewise,0.0005,1,0.7700295069815635,1.0,,,,,
distilbert,cyclic_triangular,piecewise,0.0005,2,0.684286961247352,1.0,,,,,
distilbert,cyclic_triangular,piecewise,0.0005,3,0.6217184163253427,0.75,,,,,
distilbert,cyclic_triangular,piecewise,0.0005,4,0.6124788160249353,0.75,0.3575062540229303,0.86948,0.8689192427510185,0.87024,0.8695791198688996
distilbert,cyclic_triangular,piecewise,0.0005,5,0.5240341545829236,0.5,,,,,
distilbert,cyclic_triangular,piecewise,0.0005,6,0.5411064619447509,0.5,,,,,
distilbert,cyclic_triangular,piecewise,0.0005,7,0.4251146240544792,0.25,,,,,
distilbert,cyclic_triangular,piecewise,0.0005,8,0.4275353402471359,0.25,0.30348595705923703,0.8704,0.8657765839785116,0.87672,0.8712139279751967
distilbert,cyclic_triangular,piecewise,0.0005,9,0.362267006391222,0.1,,,,,
distilbert,cyclic_triangular,piecewise,0.0005,10,0.3715634897294063,0.1,,,,,
distilbert,cyclic_triangular,piecewise,0.0005,11,0.35366500486034047,0.075,,,,,
distilbert,cyclic_triangular,piecewise,0.0005,12,0.3505205740235741,0.075,0.3036559813442001,0.8706,0.8624520773022455,0.88184,0.8720382896246193
distilbert,cyclic_triangular,piecewise,0.0005,13,0.33857928185949554,0.05,,,,,
distilbert,cyclic_triangular,piecewise,0.0005,14,0.33572295329563906,0.05,,,,,
distilbert,cyclic_triangular,piecewise,0.0005,15,0.32356751616269597,0.025,,,,,
distilbert,cyclic_triangular,piecewise,0.0005,16,0.3266048550496137,0.025,0.3009916920314995,0.87236,0.8666981800992674,0.88008,0.8733378319374429
distilbert,cyclic_triangular,piecewise,0.0005,17,0.3198123793364982,0.01,,,,,
distilbert,cyclic_triangular,piecewise,0.0005,18,0.3208079879396784,0.01,,,,,
distilbert,cyclic_triangular,piecewise,0.0005,19,0.31313719729858946,0.005,,,,,
distilbert,cyclic_triangular,piecewise,0.0005,20,0.31247107104487093,0.005,0.3025036734321482,0.87244,0.8657971242240905,0.88152,0.8735878225710549
distilbert,cyclic_triangular,piecewise,0.0005,causal_mediation,,,0.3025036734321482,0.87244,0.8657971242240905,0.88152,0.8735878225710549
roberta,cyclic_triangular,piecewise,0.0005,1,0.7872903451123302,1.0,,,,,
roberta,cyclic_triangular,piecewise,0.0005,2,0.6912209525446974,1.0,,,,,
roberta,cyclic_triangular,piecewise,0.0005,3,0.656823593953902,0.75,,,,,
roberta,cyclic_triangular,piecewise,0.0005,4,0.653664838710963,0.75,0.5139277427721237,0.89816,0.9114583333333334,0.882,0.896487233696536
roberta,cyclic_triangular,piecewise,0.0005,5,0.5931927208250635,0.5,,,,,
roberta,cyclic_triangular,piecewise,0.0005,6,0.5591718994572006,0.5,,,,,
roberta,cyclic_triangular,piecewise,0.0005,7,0.4464706478787018,0.25,,,,,
roberta,cyclic_triangular,piecewise,0.0005,8,0.438549686750005,0.25,0.2571743961244283,0.90368,0.8917701863354037,0.91888,0.9051221434200157
roberta,cyclic_triangular,piecewise,0.0005,9,0.3705116054728408,0.1,,,,,
roberta,cyclic_triangular,piecewise,0.0005,10,0.37399564953240844,0.1,,,,,
roberta,cyclic_triangular,piecewise,0.0005,11,0.35679913887555065,0.075,,,,,
roberta,cyclic_triangular,piecewise,0.0005,12,0.38107512894629364,0.075,0.24034300082353058,0.9026,0.8917256947147194,0.91648,0.9039334043476546
roberta,cyclic_triangular,piecewise,0.0005,13,0.35007565277399194,0.05,,,,,
roberta,cyclic_triangular,piecewise,0.0005,14,0.35455734157363955,0.05,,,,,
roberta,cyclic_triangular,piecewise,0.0005,15,0.33010634317546034,0.025,,,,,
roberta,cyclic_triangular,piecewise,0.0005,16,0.3351840235850633,0.025,0.2360661644658392,0.90476,0.8949340410584654,0.9172,0.9059302279641263
roberta,cyclic_triangular,piecewise,0.0005,17,0.32130754249490995,0.01,,,,,
roberta,cyclic_triangular,piecewise,0.0005,18,0.32181709880391834,0.01,,,,,
roberta,cyclic_triangular,piecewise,0.0005,19,0.3223505529050101,0.005,,,,,
roberta,cyclic_triangular,piecewise,0.0005,20,0.31895095121141664,0.005,0.2332169318405443,0.90496,0.897705845380264,0.91408,0.9058189313461233
roberta,cyclic_triangular,piecewise,0.0005,causal_mediation,,,0.2332169318405443,0.90496,0.897705845380264,0.91408,0.9058189313461233
